"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.64845394651989,0.423307623649253,-6.25657039598787,3.93535512358021e-10
"early_total_time_ms",7.24317107038436e-08,8.09882080577295e-09,8.9434884955367,3.77074600766365e-19
"first_day_total_time_ms",9.45707481244065e-08,1.86690033149139e-08,5.06565597151391,4.06996375141505e-07
"early_number_of_events",0.00305119071574343,0.000316773256849778,9.63209693295031,5.85228193692912e-22
"first_day_number_of_events",-0.00503048773117103,0.000696790082256499,-7.21951683766824,5.21726087106479e-13
"fieldDeviceTypeLastMOBILE_PHONE",2.07605264537598,0.0833374210150998,24.9114097855251,5.59720157407549e-137
"fieldDeviceTypeLastTABLET",1.9581369599477,0.111149457210819,17.617152697684,1.81934399255319e-69
"fieldPlatformLastANDROID_MOBILE",0.663505384717169,0.424241878958015,1.56397898846481,0.117822502906041
"fieldPlatformLastANDROID_TABLET",0.537197034903282,0.435905933365401,1.23236917367898,0.217811210643546
"fieldPlatformLastIOS",-2.52467420146464,0.611205087652591,-4.13064984645491,3.61739212221076e-05
"fieldPlatformLastIOS_MOBILE",-0.706205144762633,0.429904040538716,-1.6427041343405,0.100444162980893
"fieldPlatformLastIOS_TABLET",-0.682668671655095,0.435543006858123,-1.56739669999448,0.117021994843985
