"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0.33",1.51933701657459,99.5529973669708,0.447002633029203,13.0952380952381,2.72277227722772,1.84563758389262,95.391380826737,11,713,73,16258,2,8,9,2880
"long_cut =  9 ; prob =  0.34",1.51933701657459,99.5652440144511,0.434755985548951,13.4146341463415,2.72952853598015,1.84687709872398,95.4031075930812,11,713,71,16260,2,8,9,2880
"long_cut =  9 ; prob =  0.35",1.10497237569061,99.5836139856714,0.416386014328574,10.5263157894737,2,1.34589502018843,95.4031075930812,8,716,68,16263,2,8,9,2880
"long_cut =  9 ; prob =  0.36",0.828729281767956,99.5836139856714,0.416386014328574,8.10810810810811,1.50375939849624,1.01010101010101,95.391380826737,6,718,68,16263,2,8,9,2880
"long_cut =  9 ; prob =  0.37",0.552486187845304,99.6019839568918,0.398016043108196,5.79710144927536,1.00882723833544,0.674536256323777,95.3972442099091,4,720,65,16266,2,8,9,2880
"long_cut =  9 ; prob =  0.38",0.552486187845304,99.6264772518523,0.373522748147692,6.15384615384615,1.01394169835234,0.675447483958122,95.4206977425975,4,720,61,16270,2,8,9,2880
"long_cut =  9 ; prob =  0.39",0.552486187845304,99.6326005755924,0.367399424407566,6.25,1.01522842639594,0.675675675675676,95.4265611257696,4,720,60,16271,2,8,9,2880
"long_cut =  9 ; prob =  0.4",0.552486187845304,99.6387238993326,0.36127610066744,6.34920634920635,1.01651842439644,0.675904021628929,95.4324245089417,4,720,59,16272,2,8,9,2880
"long_cut =  9 ; prob =  0.41",0.414364640883978,99.6509705468128,0.349029453187188,5,0.765306122448979,0.50744248985115,95.4382878921137,3,721,57,16274,2,8,9,2880
"long_cut =  9 ; prob =  0.42",0.414364640883978,99.6570938705529,0.342906129447063,5.08474576271187,0.766283524904214,0.50761421319797,95.4441512752858,3,721,56,16275,2,8,9,2880
"long_cut =  9 ; prob =  0.43",0.414364640883978,99.6570938705529,0.342906129447063,5.08474576271187,0.766283524904214,0.50761421319797,95.4441512752858,3,721,56,16275,2,8,9,2880
"long_cut =  9 ; prob =  0.44",0.414364640883978,99.6632171942931,0.336782805706937,5.17241379310345,0.767263427109974,0.507786052809749,95.4500146584579,3,721,55,16276,2,8,9,2880
"long_cut =  9 ; prob =  0.45",0.414364640883978,99.6754638417733,0.324536158226685,5.35714285714286,0.769230769230769,0.508130081300813,95.4617414248021,3,721,53,16278,2,8,9,2880
"long_cut =  9 ; prob =  0.46",0.414364640883978,99.7060804604739,0.293919539526055,5.88235294117647,0.774193548387097,0.508992195453003,95.4910583406626,3,721,48,16283,2,8,9,2880
"long_cut =  9 ; prob =  0.47",0.414364640883978,99.7060804604739,0.293919539526055,5.88235294117647,0.774193548387097,0.508992195453003,95.4910583406626,3,721,48,16283,2,8,9,2880
"long_cut =  9 ; prob =  0.48",0.414364640883978,99.7428204029147,0.2571795970853,6.66666666666667,0.780234070221066,0.51003060183611,95.5262386396951,3,721,42,16289,2,8,9,2880
"long_cut =  9 ; prob =  0.49",0.414364640883978,99.7428204029147,0.2571795970853,6.66666666666667,0.780234070221066,0.51003060183611,95.5262386396951,3,721,42,16289,2,8,9,2880
"long_cut =  9 ; prob =  0.5",0.414364640883978,99.7489437266548,0.251056273345174,6.81818181818182,0.78125,0.510204081632653,95.5321020228672,3,721,41,16290,2,8,9,2880
"long_cut =  9 ; prob =  0.51",0.138121546961326,99.7489437266548,0.251056273345174,2.38095238095238,0.261096605744125,0.170183798502383,95.520375256523,1,723,41,16290,2,8,9,2880
"long_cut =  9 ; prob =  0.52",0.138121546961326,99.7489437266548,0.251056273345174,2.38095238095238,0.261096605744125,0.170183798502383,95.520375256523,1,723,41,16290,2,8,9,2880
"long_cut =  9 ; prob =  0.53",0.138121546961326,99.7611903741351,0.238809625864922,2.5,0.261780104712042,0.170299727520436,95.5321020228672,1,723,39,16292,2,8,9,2880
"long_cut =  9 ; prob =  0.54",0.138121546961326,99.7673136978752,0.232686302124796,2.56410256410256,0.262123197903014,0.170357751277683,95.5379654060393,1,723,38,16293,2,8,9,2880
"long_cut =  9 ; prob =  0.55",0.138121546961326,99.7734370216153,0.22656297838467,2.63157894736842,0.26246719160105,0.170415814587594,95.5438287892114,1,723,37,16294,2,8,9,2880
