"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,20.62055091303,34.19077554686,56.5001696065129,20.62055091303,2665,0,10259,0,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.01",100,0,100,20.62055091303,34.19077554686,56.5001696065129,20.62055091303,2665,0,10259,0,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.02",100,0,100,20.62055091303,34.19077554686,56.5001696065129,20.62055091303,2665,0,10259,0,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.03",100,0,100,20.62055091303,34.19077554686,56.5001696065129,20.62055091303,2665,0,10259,0,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.04",100,0,100,20.62055091303,34.19077554686,56.5001696065129,20.62055091303,2665,0,10259,0,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.05",100,0,100,20.62055091303,34.19077554686,56.5001696065129,20.62055091303,2665,0,10259,0,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.06",100,0,100,20.62055091303,34.19077554686,56.5001696065129,20.62055091303,2665,0,10259,0,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.07",100,0,100,20.62055091303,34.19077554686,56.5001696065129,20.62055091303,2665,0,10259,0,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.08",97.7110694183865,24.0569256262794,75.9430743737206,25.0505050505051,39.8774885145482,61.8380432201377,39.2448158464872,2604,61,7791,2468,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.09",95.3846153846154,39.9356662442733,60.0643337557267,29.2049632352941,44.7180930600756,65.6372650278868,51.3695450324977,2542,123,6162,4097,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.1",93.1707317073171,50.7554342528512,49.2445657471488,32.9528865295289,48.6862745098039,68.233031052487,59.5017022593624,2483,182,5052,5207,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.11",91.031894934334,58.358514475095,41.641485524905,36.2197670946551,51.8209975435224,69.8813227330338,65.0959455277004,2426,239,4272,5987,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.12",89.53095684803,62.9691003021737,37.0308996978263,38.5772029102668,53.9209039548023,70.8222024339567,68.446301454658,2386,279,3799,6460,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.13",87.6547842401501,67.1410468856614,32.8589531143386,40.932188540389,55.8050645007167,71.3631086943239,71.371092541009,2336,329,3371,6888,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.14",86.1538461538462,71.0108197680086,28.9891802319914,43.5673624288425,57.870195337114,72.0652856246077,74.1333952336738,2296,369,2974,7285,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.15",84.2401500938086,73.7206355395263,26.2793644604737,45.4361465290427,59.0323428871943,71.9505159925646,75.8898173939957,2245,420,2696,7563,2,1,6,2718,"longTermPlayer"
"long_cut =  6 ; prob =  0.16",82.4765478424015,75.9040842187348,24.0959157812652,47.0663811563169,59.931833674165,71.689497716895,77.2593624264934,2198,467,2472,7787,2,1,6,2718,"longTermPlayer"
