"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.01",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.02",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.03",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.04",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.05",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.06",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.07",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.08",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.09",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.1",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.11",100,0,100,12.8,22.6950354609929,42.3280423280423,12.8,2240,0,15260,0,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.12",95.4910714285714,34.2529488859764,65.7470511140236,17.573118632928,29.6835970024979,50.610448608745,42.0914285714286,2139,101,10033,5227,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.13",90.4910714285714,51.2319790301442,48.7680209698558,21.4066955327912,34.6229396190964,54.9948450811221,56.2571428571429,2027,213,7442,7818,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.14",83.2589285714286,62.0314547837484,37.9685452162516,24.3504373939157,37.6805737953329,56.1104759612492,64.7485714285714,1865,375,5794,9466,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.15",76.6517857142857,68.8204456094364,31.1795543905636,26.5173745173745,39.4033275960987,55.6203433754454,69.8228571428571,1717,523,4758,10502,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.16",70.3125,73.2830930537353,26.7169069462647,27.8662420382166,39.9138367967562,53.8940596769778,72.9028571428571,1575,665,4077,11183,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.17",64.1517857142857,76.4744429882045,23.5255570117955,28.5856375571912,39.5486445575891,51.3691284764424,74.8971428571429,1437,803,3590,11670,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.18",60,78.6566186107471,21.3433813892529,29.2110410780265,39.292501096331,49.553867708871,76.2685714285714,1344,896,3257,12003,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.19",56.1607142857143,80.2490170380079,19.7509829619921,29.4475655430712,38.6363636363636,47.5362756952842,77.1657142857143,1258,982,3014,12246,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.2",52.9910714285714,81.5334207077326,18.4665792922674,29.6379525593009,38.0144115292234,45.7770921712302,77.88,1187,1053,2818,12442,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.21",49.7321428571429,82.7129750982962,17.2870249017038,29.6908315565032,37.1829105473965,43.8168659534298,78.4914285714286,1114,1126,2638,12622,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.22",47.7232142857143,83.6304062909568,16.3695937090433,29.9691617605831,36.8176338901326,42.6678374710625,79.0342857142857,1069,1171,2498,12762,2,1,6,2527,"longTermPlayer"
"long_cut =  6 ; prob =  0.23",45.4017857142857,84.4429882044561,15.5570117955439,29.991153052197,36.1214704315397,41.1707554044207,79.4457142857143,1017,1223,2374,12886,2,1,6,2527,"longTermPlayer"
