"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,5.86832061068702,11.0860748084723,23.7635239567233,5.86832061068702,369,0,5919,0,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.01",100,0,100,5.86832061068702,11.0860748084723,23.7635239567233,5.86832061068702,369,0,5919,0,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.02",100,0,100,5.86832061068702,11.0860748084723,23.7635239567233,5.86832061068702,369,0,5919,0,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.03",55.8265582655827,84.5413076533198,15.4586923466802,18.3764495985727,27.6510067114094,39.6611474778591,82.8562340966921,206,163,915,5004,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.04",49.3224932249323,91.9749957763136,8.02500422368644,27.7016742770167,35.4775828460039,42.6629160806376,89.472010178117,182,187,475,5444,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.05",47.1544715447154,93.7320493326575,6.26795066734246,31.9266055045872,38.074398249453,43.0479960415636,90.998727735369,174,195,371,5548,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.06",43.6314363143631,94.7626288224362,5.23737117756378,34.1825902335456,38.3333333333333,41.3456599897278,91.7620865139949,161,208,310,5609,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.07",43.6314363143631,95.370839668863,4.62916033113702,37.0114942528736,40.0497512437811,42.1245421245421,92.3346055979644,161,208,274,5645,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.08",40.9214092140921,95.9452610238216,4.05473897617841,38.618925831202,39.7368421052632,40.4392072844135,92.7162849872773,151,218,240,5679,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.09",39.8373983739837,96.3507349214394,3.64926507856057,40.495867768595,40.1639344262295,39.9673735725938,93.0343511450382,147,222,216,5703,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.1",39.5663956639566,96.5872613617165,3.4127386382835,41.9540229885057,40.7252440725244,40.0219298245614,93.2410941475827,146,223,202,5717,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.11",38.2113821138211,96.908261530664,3.09173846933604,43.5185185185185,40.6926406926407,39.1666666666667,93.4637404580153,141,228,183,5736,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.12",36.3143631436314,97.2292616996114,2.77073830038858,44.9664429530201,40.1799100449775,37.7677564825254,93.6545801526718,134,235,164,5755,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.13",34.9593495934959,97.6516303429633,2.34836965703666,48.134328358209,40.5023547880691,36.9839449541284,93.9726463104326,129,240,139,5780,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.14",34.9593495934959,97.9726305119108,2.0273694880892,51.8072289156626,41.747572815534,37.3913043478261,94.2748091603053,129,240,120,5799,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.15",34.1463414634146,98.0571042405812,1.94289575941882,52.2821576763486,41.3114754098361,36.6919044845661,94.3066157760814,126,243,115,5804,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.16",33.0623306233062,98.1415779692516,1.85842203074844,52.5862068965517,40.5990016638935,35.7142857142857,94.3225190839695,122,247,110,5809,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.17",32.520325203252,98.242946443656,1.75705355634398,53.5714285714286,40.4721753794266,35.2941176470588,94.3861323155216,120,249,104,5815,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.18",31.7073170731707,98.3443149180605,1.65568508193952,54.4186046511628,40.0684931506849,34.5949142519219,94.4338422391858,117,252,98,5821,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.19",31.7073170731707,98.4118939009968,1.58810609900321,55.4502369668246,40.3448275862069,34.6769413159455,94.4974554707379,117,252,94,5825,2,1,6,2187,"longTermPlayer"
"long_cut =  6 ; prob =  0.2",31.7073170731707,98.5132623754012,1.48673762459876,57.0731707317073,40.7665505226481,34.8007138607972,94.5928753180662,117,252,88,5831,2,1,6,2187,"longTermPlayer"
