"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.99550732314198,0.622914632220634,-3.20350047971771,0.00135767813865059
"regionAS",-0.881008593184844,0.198641278607337,-4.43517379349119,9.19980402712652e-06
"regionEU",-0.493346437217491,0.194478781257524,-2.53676228340929,0.0111882897668609
"regionNA",-0.40830589939933,0.199280168355338,-2.04890382605095,0.0404715201475403
"regionOC",-0.294077992382548,0.386336322833244,-0.761196851038731,0.446539498820227
"regionSA",-1.02393464843911,0.244250176822998,-4.19215519823813,2.7631685506311e-05
"early_total_time_ms",4.22622954356574e-08,7.77859342742451e-09,5.43315392814539,5.53666069063e-08
"first_day_total_time_ms",9.86460813697617e-08,2.07169739149425e-08,4.76160667937181,1.92057726806647e-06
"early_number_of_events",0.00341863604698276,0.000290739394807343,11.7584204550199,6.39188885970617e-32
"first_day_number_of_events",-0.00525764242538787,0.000746637906242716,-7.04175662851857,1.89831189165757e-12
"fieldDeviceTypeLastMOBILE_PHONE",1.93495477274139,0.164478806635501,11.7641586312662,5.97187168779571e-32
"fieldDeviceTypeLastTABLET",1.62900250028435,0.218250673983821,7.46390593233682,8.39945773863981e-14
"fieldPlatformLastANDROID_MOBILE",0.673477803294887,0.596993801606196,1.1281152358415,0.259271255484272
"fieldPlatformLastANDROID_TABLET",0.294089148345992,0.613936771179686,0.479021883281069,0.631923060835899
"fieldPlatformLastIOS",-2.22076578024135,0.729401124715338,-3.04464265956272,0.00232956917362698
"fieldPlatformLastIOS_MOBILE",-1.03875473670957,0.616513397369736,-1.68488591025153,0.0920105854802666
"fieldPlatformLastIOS_TABLET",-0.692780050655738,0.632345913181914,-1.09557132609544,0.27326641575132
