"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  10 ; prob =  0",100,0,100,4.25806451612903,8.16831683168317,18.1918412348401,4.25806451612903,726,0,16324,0,4,8,10,2880
"long_cut =  10 ; prob =  0.01",90.0826446280992,33.1046312178388,66.8953687821612,5.65059616381545,10.6341463414634,22.5859925404061,35.5307917888563,654,72,10920,5404,4,8,10,2880
"long_cut =  10 ; prob =  0.02",84.5730027548209,43.1879441313404,56.8120558686596,6.20954692556634,11.5696250235538,23.9993746091307,44.950146627566,614,112,9274,7050,4,8,10,2880
"long_cut =  10 ; prob =  0.03",79.2011019283747,48.7196765498652,51.2803234501348,6.4274536105522,11.8899917287014,24.2616033755274,50.0175953079179,575,151,8371,7953,4,8,10,2880
"long_cut =  10 ; prob =  0.04",71.4876033057851,65.2046067140407,34.7953932859593,8.37231811582513,14.9891696750903,28.5070855761837,65.4721407624633,519,207,5680,10644,4,8,10,2880
"long_cut =  10 ; prob =  0.05",64.7382920110193,69.6214163195295,30.3785836804705,8.65721127279425,15.272136474411,28.2011280451218,69.4134897360704,470,256,4959,11365,4,8,10,2880
"long_cut =  10 ; prob =  0.06",55.2341597796143,81.61602548395,18.38397451605,11.7871840094062,19.4282945736434,31.7951157627656,80.4926686217009,401,325,3001,13323,4,8,10,2880
"long_cut =  10 ; prob =  0.07",46.5564738292011,86.872090173977,13.127909826023,13.6235388956066,21.0788899282819,31.3834726090993,85.1554252199413,338,388,2143,14181,4,8,10,2880
"long_cut =  10 ; prob =  0.08",38.7052341597796,89.8493016417545,10.1506983582455,14.499484004128,21.0960960960961,29.0169351507641,87.6715542521994,281,445,1657,14667,4,8,10,2880
"long_cut =  10 ; prob =  0.09",33.1955922865014,91.8279833374173,8.1720166625827,15.3015873015873,20.9474141677532,26.9033266354097,89.3313782991202,241,485,1334,14990,4,8,10,2880
"long_cut =  10 ; prob =  0.1",28.099173553719,93.3901004655722,6.60989953442783,15.900233826968,20.3086112493778,24.3611177454024,90.6099706744868,204,522,1079,15245,4,8,10,2880
"long_cut =  10 ; prob =  0.11",24.3801652892562,94.7439353099731,5.25606469002695,17.1014492753623,20.1022146507666,22.4676313785225,91.7478005865103,177,549,858,15466,4,8,10,2880
"long_cut =  10 ; prob =  0.12",21.3498622589532,95.6076941925999,4.39230580740014,17.7752293577982,19.3992490613267,20.5243644067797,92.4457478005865,155,571,717,15607,4,8,10,2880
"long_cut =  10 ; prob =  0.13",18.595041322314,96.1467777505513,3.85322224944866,17.6701570680628,18.1208053691275,18.40239912759,92.8445747800587,135,591,629,15695,4,8,10,2880
"long_cut =  10 ; prob =  0.14",16.6666666666667,96.5388385199706,3.46116148002941,17.6384839650146,17.1388101983003,16.8523676880223,93.1378299120235,121,605,565,15759,4,8,10,2880
"long_cut =  10 ; prob =  0.15",14.7382920110193,96.9615290370007,3.03847096299926,17.7446102819237,16.1023325808879,15.2552038779584,93.4604105571847,107,619,496,15828,4,8,10,2880
"long_cut =  10 ; prob =  0.16",12.6721763085399,97.390345503553,2.60965449644694,17.7606177606178,14.7909967845659,13.4424313267095,93.782991202346,92,634,426,15898,4,8,10,2880
"long_cut =  10 ; prob =  0.17",11.2947658402204,97.6598872825288,2.34011271747121,17.6724137931034,13.781512605042,12.1733966745843,93.9824046920821,82,644,382,15942,4,8,10,2880
"long_cut =  10 ; prob =  0.18",10.0550964187328,97.9233031119824,2.07669688801764,17.7184466019417,12.829525483304,11.0072376357057,94.1818181818182,73,653,339,15985,4,8,10,2880
"long_cut =  10 ; prob =  0.19",9.22865013774105,98.1254594462142,1.87454055378584,17.9624664879357,12.1929026387625,10.2227647238328,94.3401759530792,67,659,306,16018,4,8,10,2880
"long_cut =  10 ; prob =  0.2",8.26446280991736,98.2969860328351,1.70301396716491,17.7514792899408,11.2781954887218,9.25354719309068,94.4633431085044,60,666,278,16046,4,8,10,2880
"long_cut =  10 ; prob =  0.21",8.1267217630854,98.4133790737564,1.58662092624356,18.5534591194969,11.3026819923372,9.15580384854128,94.5689149560117,59,667,259,16065,4,8,10,2880
"long_cut =  10 ; prob =  0.22",7.30027548209366,98.572653761333,1.42734623866699,18.5314685314685,10.4743083003953,8.30721003134796,94.6862170087977,53,673,233,16091,4,8,10,2880
"long_cut =  10 ; prob =  0.23",6.33608815426997,98.6584170546435,1.34158294535653,17.3584905660377,9.28355196770938,7.25781003471127,94.7272727272727,46,680,219,16105,4,8,10,2880
"long_cut =  10 ; prob =  0.24",6.33608815426997,98.780936045087,1.21906395491301,18.7755102040816,9.47476828012358,7.30390600190537,94.8445747800587,46,680,199,16125,4,8,10,2880
"long_cut =  10 ; prob =  0.25",5.92286501377411,98.8728252879196,1.12717471208037,18.942731277533,9.02413431269675,6.86681571382945,94.9149560117302,43,683,184,16140,4,8,10,2880
"long_cut =  10 ; prob =  0.26",5.64738292011019,98.9402107326636,1.05978926733644,19.1588785046729,8.72340425531915,6.57472738935215,94.9677419354839,41,685,173,16151,4,8,10,2880
"long_cut =  10 ; prob =  0.27",4.82093663911846,99.0198480764519,0.980151923548145,17.9487179487179,7.60043431053203,5.64698289770894,95.0087976539589,35,691,160,16164,4,8,10,2880
"long_cut =  10 ; prob =  0.28",4.26997245179063,99.0688556726293,0.931144327370748,16.9398907103825,6.82068206820682,5.0210560414642,95.0322580645161,31,695,152,16172,4,8,10,2880
"long_cut =  10 ; prob =  0.29",3.99449035812672,99.130115167851,0.869884832148982,16.9590643274854,6.4659977703456,4.71544715447155,95.0791788856305,29,697,142,16182,4,8,10,2880
"long_cut =  10 ; prob =  0.3",3.99449035812672,99.1729968145062,0.827003185493747,17.6829268292683,6.51685393258427,4.72620599739244,95.1202346041056,29,697,135,16189,4,8,10,2880
"long_cut =  10 ; prob =  0.31",3.71900826446281,99.2220044106837,0.777995589316349,17.5324675324675,6.13636363636364,4.41465009810334,95.1554252199413,27,699,127,16197,4,8,10,2880
"long_cut =  10 ; prob =  0.32",3.58126721763085,99.2587601078167,0.741239892183287,17.687074829932,5.95647193585338,4.2608980662078,95.1847507331378,26,700,121,16203,4,8,10,2880
"long_cut =  10 ; prob =  0.33",3.4435261707989,99.2710120068611,0.728987993138941,17.3611111111111,5.74712643678161,4.1010498687664,95.1906158357771,25,701,119,16205,4,8,10,2880
"long_cut =  10 ; prob =  0.34",2.89256198347107,99.2955158049498,0.704484195050237,15.4411764705882,4.87238979118329,3.45394736842105,95.1906158357771,21,705,115,16209,4,8,10,2880
"long_cut =  10 ; prob =  0.35",2.34159779614325,99.3261455525606,0.673854447439348,13.3858267716535,3.98593200468933,2.80435499835038,95.1964809384164,17,709,110,16214,4,8,10,2880
"long_cut =  10 ; prob =  0.36",2.34159779614325,99.3445234011272,0.655476598872828,13.7096774193548,4,2.80713342140026,95.2140762463343,17,709,107,16217,4,8,10,2880
