"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-30.9010332881411,696.695607648526,-0.0443537076291291,0.964622461267125
"regionAS",10.9425673072757,297.084343466007,0.0368332009004972,0.970618001511291
"regionEU",13.8441050290876,297.084136614932,0.0465999470279081,0.962832074251678
"regionNA",14.452750670647,297.084141756073,0.048648677728863,0.961199276645515
"regionOC",13.893804487256,297.085022847464,0.0467670983683001,0.962698852026153
"regionSA",11.9173155361774,297.08582673975,0.0401140494212034,0.968002200999095
"early_total_time_ms",2.05638078996237e-08,8.44367614005691e-09,2.43540935944579,0.0148749508063989
"first_day_total_time_ms",1.73454795370237e-08,2.5899457638631e-08,0.669723659044952,0.503033966747794
"early_number_of_events",0.00133799302197357,0.000320552244272468,4.17402481461423,2.99265138848778e-05
"first_day_number_of_events",-0.000273937972442679,0.000993234693380983,-0.275803870191234,0.782698710986246
"fieldDeviceTypeLastMOBILE_PHONE",1.28051204688023,0.321671167661784,3.98081076457125,6.86806103681261e-05
"fieldDeviceTypeLastTABLET",1.60032116848778,0.474214180091402,3.3746801248738,0.000739015352969036
"fieldPlatformLastANDROID_MOBILE",12.0521219634765,630.179217188183,0.0191249118262774,0.984741458299197
"fieldPlatformLastANDROID_TABLET",12.590833083316,630.179294988279,0.0199797631935054,0.98405951597592
"fieldPlatformLastIOS",11.7231079031938,630.179529549025,0.0186028065868519,0.985157963891771
"fieldPlatformLastIOS_MOBILE",12.3207653812939,630.179268916069,0.0195512070755455,0.984401387496513
"fieldPlatformLastIOS_TABLET",11.960203626549,630.179366713346,0.0189790466941603,0.984857820715559
