"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-30.7830917924295,697.533668553708,-0.0441313347013863,0.964799715628724
"regionAS",11.0149894790784,297.102773471548,0.0370746773931857,0.970425462656254
"regionEU",13.8334378240154,297.102556074017,0.0465611538547958,0.962862993164246
"regionNA",14.3875034943619,297.102558961513,0.0484260504004131,0.961376698438348
"regionOC",13.8415486962801,297.103432749688,0.0465883162916591,0.962841344168543
"regionSA",11.8411098435923,297.104240868832,0.0398550684061761,0.968208672835995
"first_day_total_time_ms",6.18426422348051e-08,1.88241192217265e-08,3.28528742866372,0.00101878384336368
"first_day_number_of_events",0.00264512111582518,0.000665319448474135,3.97571590893907,7.01678498501501e-05
"fieldDeviceTypeLastMOBILE_PHONE",1.44107300225071,0.316888907653551,4.54756530583962,5.42700829276484e-06
"fieldDeviceTypeLastTABLET",1.69874124168282,0.460813973299665,3.68639264456102,0.000227455328483134
"fieldPlatformLastANDROID_MOBILE",12.247918147636,631.096944748616,0.0194073481888186,0.984516148506414
"fieldPlatformLastANDROID_TABLET",12.7599102443567,631.097016257331,0.0202186191911163,0.983868974954652
"fieldPlatformLastIOS",11.5903434211425,631.097254484335,0.0183653840018887,0.98534736734753
"fieldPlatformLastIOS_MOBILE",12.2619419981818,631.096996733373,0.0194295679771112,0.984498423022638
"fieldPlatformLastIOS_TABLET",11.9420666140585,631.097086181507,0.0189227091608277,0.984902763492589
