"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  10 ; prob =  0",100,0,100,4.24508941659337,8.1444400697452,18.1444539120846,4.24508941659337,724,0,16331,0,1,8,10,2880
"long_cut =  10 ; prob =  0.01",89.3646408839779,32.0494764558202,67.9505235441798,5.5091961852861,10.3785691369907,22.0969945355191,34.482556435063,647,77,11097,5234,1,8,10,2880
"long_cut =  10 ; prob =  0.02",82.8729281767956,42.2876737493111,57.7123262506889,5.98503740648379,11.1638291934133,23.2180171813327,44.0105540897098,600,124,9425,6906,1,8,10,2880
"long_cut =  10 ; prob =  0.03",76.5193370165746,48.2824076908946,51.7175923091054,6.15555555555556,11.3944878650761,23.285137861466,49.48109058927,554,170,8446,7885,1,8,10,2880
"long_cut =  10 ; prob =  0.04",67.6795580110497,60.5413018186271,39.4586981813729,7.06662820882607,12.7970749542962,24.9237029501526,60.844327176781,490,234,6444,9887,1,8,10,2880
"long_cut =  10 ; prob =  0.05",58.8397790055249,69.5303410691323,30.4696589308677,7.88596815994076,13.9079333986288,25.6688358640636,69.0765171503958,426,298,4976,11355,1,8,10,2880
"long_cut =  10 ; prob =  0.06",53.8674033149171,72.7757026513992,27.2242973486008,8.06451612903226,14.0287769784173,25.2198654940507,71.9730284374084,390,334,4446,11885,1,8,10,2880
"long_cut =  10 ; prob =  0.07",41.5745856353591,85.0590900740922,14.9409099259078,10.9813936519518,17.3737373737374,26.6985985453255,83.2131339783055,301,423,2440,13891,1,8,10,2880
"long_cut =  10 ; prob =  0.08",32.7348066298343,90.5455881452452,9.45441185475476,13.307130825379,18.9221556886228,25.3367543296985,88.0914687774846,237,487,1544,14787,1,8,10,2880
"long_cut =  10 ; prob =  0.09",24.585635359116,93.5276468066867,6.47235319331333,14.412955465587,18.1725370086779,21.5444202372307,90.6009967751393,178,546,1057,15274,1,8,10,2880
"long_cut =  10 ; prob =  0.1",17.4033149171271,95.1564509215602,4.84354907843978,13.7404580152672,15.3564899451554,16.522423288749,91.8557607739666,126,598,791,15540,1,8,10,2880
"long_cut =  10 ; prob =  0.11",13.9502762430939,96.2402792235626,3.75972077643745,14.1258741258741,14.0375260597637,13.9850456937137,92.7469950161243,101,623,614,15717,1,8,10,2880
