"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  10 ; prob =  0",100,0,100,4.24508941659337,8.1444400697452,18.1444539120846,4.24508941659337,724,0,16331,0,2,8,10,2880
"long_cut =  10 ; prob =  0.01",89.7790055248619,33.0720715204213,66.9279284795787,5.61312607944732,10.5656697009103,22.4509533020171,35.4793315743184,650,74,10930,5401,2,8,10,2880
"long_cut =  10 ; prob =  0.02",84.1160220994475,43.1510623966689,56.8489376033311,6.15586778530274,11.4721672788923,23.8095238095238,44.8900615655233,609,115,9284,7047,2,8,10,2880
"long_cut =  10 ; prob =  0.03",77.6243093922652,48.8580001224665,51.1419998775335,6.30468925286067,11.662170574808,23.7933954276037,50.0791556728232,562,162,8352,7979,2,8,10,2880
"long_cut =  10 ; prob =  0.04",69.475138121547,64.4112424223869,35.5887575776131,7.96516231195566,14.2918028128996,27.3043100640538,64.6262093227792,503,221,5812,10519,2,8,10,2880
"long_cut =  10 ; prob =  0.05",61.1878453038674,69.8671238748393,30.1328761251607,8.25876211782252,14.5532194480946,26.8159806295399,69.4986807387863,443,281,4921,11410,2,8,10,2880
"long_cut =  10 ; prob =  0.06",54.5580110497238,80.0685812258894,19.9314187741106,10.8219178082192,18.0612711476909,30.17109685304,78.9856347112284,395,329,3255,13076,2,8,10,2880
"long_cut =  10 ; prob =  0.07",45.1657458563536,86.8042373400282,13.1957626599718,13.1748589846898,20.3992514036182,30.4016362960208,85.0366461448256,327,397,2155,14176,2,8,10,2880
"long_cut =  10 ; prob =  0.08",37.8453038674033,90.1720653970975,9.82793460290246,14.5822245875466,21.0526315789474,28.6910994764398,87.9507475813544,274,450,1605,14726,2,8,10,2880
"long_cut =  10 ; prob =  0.09",31.4917127071823,92.474435123385,7.52556487661503,15.6485929993137,20.9078404401651,26.1888352860096,89.8856640281442,228,496,1229,15102,2,8,10,2880
"long_cut =  10 ; prob =  0.1",26.1049723756906,94.0848692670382,5.91513073296185,16.3636363636364,20.1170835550825,23.3275734386571,91.1990618586925,189,535,966,15365,2,8,10,2880
"long_cut =  10 ; prob =  0.11",20.9944751381215,95.3217806625436,4.67821933745637,16.5938864628821,18.5365853658537,19.9370409233998,92.1665200820874,152,572,764,15567,2,8,10,2880
"long_cut =  10 ; prob =  0.12",17.4033149171271,96.2831424897434,3.71685751025657,17.1896316507503,17.2958133150309,17.3601543124828,92.9346232776312,126,598,607,15724,2,8,10,2880
"long_cut =  10 ; prob =  0.13",15.3314917127072,96.9260914824567,3.07390851754332,18.1076672104405,16.6043380703067,15.8164719293246,93.4623277631193,111,613,502,15829,2,8,10,2880
"long_cut =  10 ; prob =  0.14",13.8121546961326,97.3179842018247,2.68201579817525,18.5873605947955,15.8478605388273,14.5602795573675,93.7730870712401,100,624,438,15893,2,8,10,2880
"long_cut =  10 ; prob =  0.15",11.6022099447514,97.6731369787521,2.32686302124794,18.1034482758621,14.1414141414141,12.5,94.0193491644679,84,640,380,15951,2,8,10,2880
"long_cut =  10 ; prob =  0.16",10.6353591160221,98.0160431081991,1.98395689180086,19.2019950124688,13.6888888888889,11.6772823779193,94.3066549399003,77,647,324,16007,2,8,10,2880
"long_cut =  10 ; prob =  0.17",9.39226519337017,98.2670993815443,1.7329006184557,19.3732193732194,12.6511627906977,10.4712041884817,94.4942832014072,68,656,283,16048,2,8,10,2880
"long_cut =  10 ; prob =  0.18",8.28729281767956,98.4507990937481,1.54920090625191,19.1693290734824,11.5718418514947,9.34870676223123,94.6232776311932,60,664,253,16078,2,8,10,2880
"long_cut =  10 ; prob =  0.19",7.18232044198895,98.6589921009124,1.34100789908762,19.1881918819188,10.4522613065327,8.20966214082728,94.7757255936675,52,672,219,16112,2,8,10,2880
"long_cut =  10 ; prob =  0.2",6.353591160221,98.7569652807544,1.24303471924561,18.4738955823293,9.45529290853032,7.31319554848967,94.8343594253884,46,678,203,16128,2,8,10,2880
"long_cut =  10 ; prob =  0.21",5.80110497237569,98.8978017267773,1.10219827322271,18.9189189189189,8.87949260042283,6.73508659397049,94.9457637056582,42,682,180,16151,2,8,10,2880
"long_cut =  10 ; prob =  0.22",5.11049723756906,98.9835282591391,1.01647174086094,18.2266009852217,7.98274002157497,5.96966763472088,94.998534154207,37,687,166,16165,2,8,10,2880
"long_cut =  10 ; prob =  0.23",4.00552486187845,99.1121180576817,0.887881942318292,16.6666666666667,6.45879732739421,4.72312703583062,95.0747581354441,29,695,145,16186,2,8,10,2880
"long_cut =  10 ; prob =  0.24",3.1767955801105,99.1855979425632,0.814402057436781,14.7435897435897,5.22727272727273,3.76802096985583,95.1099384344767,23,701,133,16198,2,8,10,2880
"long_cut =  10 ; prob =  0.25",3.1767955801105,99.2100912375237,0.789908762476277,15.1315789473684,5.25114155251142,3.77296587926509,95.1333919671651,23,701,129,16202,2,8,10,2880
"long_cut =  10 ; prob =  0.26",3.1767955801105,99.2590778274447,0.740922172555258,15.9722222222222,5.29953917050691,3.78289473684211,95.1802990325418,23,701,121,16210,2,8,10,2880
"long_cut =  10 ; prob =  0.27",3.1767955801105,99.3141877411059,0.685812258894125,17.037037037037,5.35506402793946,3.79412735070934,95.2330694810906,23,701,112,16219,2,8,10,2880
