"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  6 ; prob =  0",100,0,100,46.1285781323322,63.1342324983943,81.0654791357414,46.1285781323322,7864,0,9184,0,5,8,14,2880
"long_cut =  6 ; prob =  0.01",100,0,100,46.1285781323322,63.1342324983943,81.0654791357414,46.1285781323322,7864,0,9184,0,5,8,14,2880
"long_cut =  6 ; prob =  0.02",100,0,100,46.1285781323322,63.1342324983943,81.0654791357414,46.1285781323322,7864,0,9184,0,5,8,14,2880
"long_cut =  6 ; prob =  0.03",100,0,100,46.1285781323322,63.1342324983943,81.0654791357414,46.1285781323322,7864,0,9184,0,5,8,14,2880
"long_cut =  6 ; prob =  0.04",99.9745676500509,0,100,46.1222574210959,63.1232436772381,81.048204197765,46.1168465509151,7862,2,9184,0,5,8,14,2880
"long_cut =  6 ; prob =  0.05",99.9745676500509,0,100,46.1222574210959,63.1232436772381,81.048204197765,46.1168465509151,7862,2,9184,0,5,8,14,2880
"long_cut =  6 ; prob =  0.06",99.9618514750763,0,100,46.1190965092403,63.1177486049219,81.0395661945115,46.1109807602065,7861,3,9184,0,5,8,14,2880
"long_cut =  6 ; prob =  0.07",99.9364191251272,0,100,46.1127735727278,63.106757136548,81.0222891193633,46.0992491787893,7859,5,9184,0,5,8,14,2880
"long_cut =  6 ; prob =  0.08",99.7965412004069,0.40287456445993,99.5971254355401,46.1782877316858,63.1401102216501,80.9890404738808,46.2517597372126,7848,16,9147,37,5,8,14,2880
"long_cut =  6 ; prob =  0.09",99.7456765005087,0.468205574912892,99.5317944250871,46.1819252281425,63.1333252847197,80.9644722445862,46.2634913186298,7844,20,9141,43,5,8,14,2880
"long_cut =  6 ; prob =  0.1",99.7075279755849,0.631533101045296,99.3684668989547,46.2132374609536,63.1549273086062,80.9635916816389,46.3338808071328,7841,23,9126,58,5,8,14,2880
"long_cut =  6 ; prob =  0.11",99.5676500508647,2.14503484320558,97.8549651567944,46.5600285425462,63.4496171143795,81.1012367161767,47.084702017832,7830,34,8987,197,5,8,14,2880
"long_cut =  6 ; prob =  0.12",99.4659206510682,3.24477351916376,96.7552264808362,46.8158965764903,63.665961256715,81.2017274312765,47.6302205537306,7822,42,8886,298,5,8,14,2880
"long_cut =  6 ; prob =  0.13",99.4023397761953,4.13763066202091,95.8623693379791,47.0308645689188,63.8513375536043,81.2966699253281,48.0818864382919,7817,47,8804,380,5,8,14,2880
"long_cut =  6 ; prob =  0.14",99.0844354018311,5.68379790940766,94.3162020905923,47.3562659535675,64.0842174520931,81.3191400542684,48.7681839511966,7792,72,8662,522,5,8,14,2880
"long_cut =  6 ; prob =  0.15",98.9827060020346,6.53310104529617,93.4668989547038,47.5562072336266,64.2456256190162,81.3817330210773,49.1787893007977,7784,80,8584,600,5,8,14,2880
"long_cut =  6 ; prob =  0.16",98.7665310274669,7.56750871080139,92.4324912891986,47.779281496063,64.4029850746269,81.3946177062374,49.6363209760676,7767,97,8489,695,5,8,14,2880
"long_cut =  6 ; prob =  0.17",98.5122075279756,8.48214285714286,91.5178571428571,47.9631005448242,64.5153231179214,81.3623760712485,50.0117315814172,7747,117,8405,779,5,8,14,2880
"long_cut =  6 ; prob =  0.18",98.2960325534079,10.0391986062718,89.9608013937282,48.3366683341671,64.8054996646546,81.4575956836958,50.7508212106992,7730,134,8262,922,5,8,14,2880
"long_cut =  6 ; prob =  0.19",97.6729399796541,13.5344076655052,86.4655923344948,49.1678402253233,65.4091799369837,81.5773822167467,52.346316283435,7681,183,7941,1243,5,8,14,2880
"long_cut =  6 ; prob =  0.2",96.9099694811801,17.6829268292683,82.3170731707317,50.2009090310256,66.140160555435,81.7055127902738,54.2292351008916,7621,243,7560,1624,5,8,14,2880
"long_cut =  6 ; prob =  0.21",96.4776195320448,19.9804006968641,80.0195993031359,50.7967327262989,66.5526315789474,81.7705638903259,55.2674800563116,7587,277,7349,1835,5,8,14,2880
"long_cut =  6 ; prob =  0.22",95.498474059003,23.3993902439024,76.6006097560976,51.6328635269852,67.0266410817082,81.6286602465164,56.6576724542468,7510,354,7035,2149,5,8,14,2880
"long_cut =  6 ; prob =  0.23",93.5783316378433,30.7164634146341,69.2835365853659,53.6292085701793,68.1830816269805,81.4445083890389,59.7137494134209,7359,505,6363,2821,5,8,14,2880
"long_cut =  6 ; prob =  0.24",92.5228891149542,33.9503484320557,66.0496515679442,54.5345525408484,68.6220880882769,81.2089825438636,60.9690286250587,7276,588,6066,3118,5,8,14,2880
"long_cut =  6 ; prob =  0.25",91.2894201424212,36.2695993031359,63.7304006968641,55.0874769797422,68.7117151607963,80.6846790145657,61.6494603472548,7179,685,5853,3331,5,8,14,2880
"long_cut =  6 ; prob =  0.26",90.3102746693795,38.6977351916376,61.3022648083624,55.7807100219918,68.9648475432123,80.3611840318639,62.5058657907086,7102,762,5630,3554,5,8,14,2880
"long_cut =  6 ; prob =  0.27",89.4582909460834,40.5052264808362,59.4947735191638,56.2845027602208,69.095909247164,80.0250255943579,63.0865790708587,7035,829,5464,3720,5,8,14,2880
"long_cut =  6 ; prob =  0.28",88.7080366225839,41.7574041811847,58.2425958188153,56.6004056795132,69.1069394224578,79.6692629222722,63.4150633505397,6976,888,5349,3835,5,8,14,2880
"long_cut =  6 ; prob =  0.29",87.7797558494405,43.7173344947735,56.2826655052265,57.1819085487078,69.2516051364366,79.2937879066348,64.0427029563585,6903,961,5169,4015,5,8,14,2880
"long_cut =  6 ; prob =  0.3",86.3046795523906,51.9925958188153,48.0074041811847,60.6198642372276,71.2172088142707,79.5625058613899,67.8202721726889,6787,1077,4409,4775,5,8,14,2880
"long_cut =  6 ; prob =  0.31",84.7024415055951,60.7905052264808,39.2094947735192,64.9093743909569,73.4966346684321,79.8336449494223,71.8207414359456,6661,1203,3601,5583,5,8,14,2880
"long_cut =  6 ; prob =  0.32",83.2273652085453,65.1567944250871,34.8432055749129,67.1626475115444,74.3369867681299,79.4276837940827,73.492491787893,6545,1319,3200,5984,5,8,14,2880
"long_cut =  6 ; prob =  0.33",81.9430315361139,68.7173344947735,31.2826655052265,69.1638939572824,75.0130958617077,79.0228827900817,74.8181604880338,6444,1420,2873,6311,5,8,14,2880
"long_cut =  6 ; prob =  0.34",80.8621566632757,71.4176829268293,28.5823170731707,70.7813891362422,75.4867046533713,78.6226508407517,75.7742843735335,6359,1505,2625,6559,5,8,14,2880
"long_cut =  6 ; prob =  0.35",79.9211597151577,73.2796167247387,26.7203832752613,71.9189838654308,75.709209179064,78.1813658415226,76.3432660722665,6285,1579,2454,6730,5,8,14,2880
"long_cut =  6 ; prob =  0.36",78.5350966429298,74.9128919860627,25.0871080139373,72.8301886792453,75.5751346059716,77.323717948718,76.5837634913186,6176,1688,2304,6880,5,8,14,2880
"long_cut =  6 ; prob =  0.37",77.6831129196338,76.36106271777,23.63893728223,73.780193236715,75.6813676907829,76.8698409502718,76.9709056780854,6109,1755,2171,7013,5,8,14,2880
"long_cut =  6 ; prob =  0.38",76.6785350966429,77.580574912892,22.419425087108,74.5456793175918,75.5970663824986,76.242255658111,77.1644767714688,6030,1834,2059,7125,5,8,14,2880
"long_cut =  6 ; prob =  0.39",75.7629704984741,78.8980836236934,21.1019163763066,75.4559270516717,75.6091370558376,75.7013620654605,77.4519005161896,5958,1906,1938,7246,5,8,14,2880
"long_cut =  6 ; prob =  0.4",74.7456765005087,79.9542682926829,20.0457317073171,76.1497603316492,75.44118590772,75.022335673261,77.5516189582356,5878,1986,1841,7343,5,8,14,2880
"long_cut =  6 ; prob =  0.41",73.7538148524924,81.0213414634146,18.9786585365854,76.8924830969111,75.29045239177,74.360881048232,77.6689347724073,5800,2064,1743,7441,5,8,14,2880
"long_cut =  6 ; prob =  0.42",72.9272634791455,82.0884146341463,17.9115853658537,77.710027100271,75.2427184466019,73.8361314244515,77.8625058657907,5735,2129,1645,7539,5,8,14,2880
"long_cut =  6 ; prob =  0.43",71.7319430315361,83.0901567944251,16.9098432055749,78.4125660272449,74.923628635941,72.9754204398448,77.8507742843735,5641,2223,1553,7631,5,8,14,2880
