"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.2543217111046,8.16142993648474,18.1781761730683,4.2543217111046,726,0,16339,0,1,3
"long_cut =  5 ; prob =  0.01",96.6942148760331,24.6893934757329,75.3106065242671,5.39709387253018,10.2235491152698,22.060209917667,27.752710225608,702,24,12305,4034,1,3
"long_cut =  5 ; prob =  0.02",95.3168044077135,35.069465695575,64.930534304425,6.12335191575967,11.5074415897564,24.3576205561422,37.6325813067682,692,34,10609,5730,1,3
"long_cut =  5 ; prob =  0.03",84.8484848484848,49.1584552298182,50.8415447701818,6.90350778886025,12.7681625038864,26.0421070432062,50.6768239085848,616,110,8307,8032,1,3
"long_cut =  5 ; prob =  0.04",77.961432506887,52.8428912418141,47.1571087581859,6.84318703905211,12.5819717683672,25.324384787472,53.9115147963668,566,160,7705,8634,1,3
"long_cut =  5 ; prob =  0.05",69.8347107438017,69.4412142725993,30.5587857274007,9.21818181818182,16.2865403148089,30.1642075202285,69.4579548784061,507,219,4993,11346,1,3
"long_cut =  5 ; prob =  0.06",59.0909090909091,79.6866393292123,20.3133606707877,11.4461045891142,19.1774698256594,32.2459410703548,78.8104307061236,429,297,3319,13020,1,3
"long_cut =  5 ; prob =  0.07",49.3112947658402,85.3724218128404,14.6275781871596,13.0276564774381,20.6102475532527,31.6702052370842,83.8382654556109,358,368,2390,13949,1,3
"long_cut =  5 ; prob =  0.08",40.3581267217631,88.9160903360059,11.0839096639941,13.925855513308,20.7067137809187,29.2531948881789,86.8502783474949,293,433,1811,14528,1,3
"long_cut =  5 ; prob =  0.09",34.435261707989,91.5967929493849,8.40320705061509,15.4035736290819,21.2856534695615,27.6121051468964,89.1649575153824,250,476,1373,14966,1,3
"long_cut =  5 ; prob =  0.1",28.7878787878788,93.4696125833894,6.53038741661056,16.3793103448276,20.8791208791209,25,90.7178435394082,209,517,1067,15272,1,3
