"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.1854880210418,8.03468525327918,17.9262379389724,4.1854880210418,732,0,16757,0,1,1
"long_cut =  5 ; prob =  0.01",100,0,100,4.1854880210418,8.03468525327918,17.9262379389724,4.1854880210418,732,0,16757,0,1,1
"long_cut =  5 ; prob =  0.02",76.6393442622951,64.8147043026795,35.1852956973205,8.68824531516184,15.6071776324941,29.8881193393713,65.3096231917205,561,171,5896,10861,1,1
"long_cut =  5 ; prob =  0.03",46.7213114754098,83.4039505878141,16.596049412186,10.9510086455331,17.7431906614786,28.2597917699554,81.8686031219624,342,390,2781,13976,1,1
"long_cut =  5 ; prob =  0.04",30.8743169398907,90.2727218475861,9.72727815241392,12.176724137931,17.4652241112828,23.6204013377926,87.7866087254846,226,506,1630,15127,1,1
"long_cut =  5 ; prob =  0.05",22.4043715846995,93.548964611804,6.45103538819598,13.1726907630522,16.590794132524,19.6501317996645,90.5712161930356,164,568,1081,15676,1,1
"long_cut =  5 ; prob =  0.06",14.6174863387978,95.3870024467387,4.61299755326132,12.1590909090909,13.2754342431762,14.0493697478992,92.0064040253874,107,625,773,15984,1,1
"long_cut =  5 ; prob =  0.07",11.7486338797814,96.5805335083846,3.41946649161544,13.0500758725341,12.3652048885694,11.9877334820184,93.0299045114072,86,646,573,16184,1,1
"long_cut =  5 ; prob =  0.08",8.33333333333333,97.3324580772215,2.66754192277854,12.007874015748,9.83870967741936,8.87660069848661,93.607410372234,61,671,447,16310,1,1
"long_cut =  5 ; prob =  0.09",6.01092896174863,97.7203556722564,2.27964432774362,10.3286384976526,7.5993091537133,6.55933214072749,93.881868603122,44,688,382,16375,1,1
"long_cut =  5 ; prob =  0.1",5.19125683060109,98.1201885779077,1.87981142209226,10.7648725212465,7.00460829493088,5.79091740323072,94.2306592715421,38,694,315,16442,1,1
"long_cut =  5 ; prob =  0.11",4.78142076502732,98.4185713433192,1.58142865668079,11.6666666666667,6.78294573643411,5.42131350681537,94.4993996226199,35,697,265,16492,1,1
"long_cut =  5 ; prob =  0.12",4.78142076502732,98.6513099003402,1.34869009965984,13.4099616858238,7.04934541792548,5.48761367199749,94.7223969352164,35,697,226,16531,1,1
"long_cut =  5 ; prob =  0.13",4.6448087431694,98.7945336277377,1.20546637226234,14.4067796610169,7.02479338842975,5.37294563843236,94.8539081708503,34,698,202,16555,1,1
"long_cut =  5 ; prob =  0.14",3.82513661202186,98.9556603210599,1.04433967894014,13.7931034482759,5.98930481283423,4.47141488342383,94.9739836468637,28,704,175,16582,1,1
