"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.1854880210418,8.03468525327918,17.9262379389724,4.1854880210418,732,0,16757,0,1,7
"long_cut =  5 ; prob =  0.01",100,0,100,4.1854880210418,8.03468525327918,17.9262379389724,4.1854880210418,732,0,16757,0,1,7
"long_cut =  5 ; prob =  0.02",81.8306010928962,60.2315450259593,39.7684549740407,8.24728073798706,14.9843652282677,29.3886762829948,61.135570930299,599,133,6664,10093,1,7
"long_cut =  5 ; prob =  0.03",41.8032786885246,84.7347377215492,15.2652622784508,10.6843575418994,17.0189098998888,26.4157458563536,82.9378466464635,306,426,2558,14199,1,7
"long_cut =  5 ; prob =  0.04",23.9071038251366,91.9854389210479,8.01456107895208,11.528326745718,15.5555555555556,19.6806117858749,89.1360283606839,175,557,1343,15414,1,7
"long_cut =  5 ; prob =  0.05",12.9781420765027,94.8439458136898,5.1560541863102,9.90615224191867,11.2359550561798,12.2202212503216,91.4174624049403,95,637,864,15893,1,7
"long_cut =  5 ; prob =  0.06",8.33333333333333,96.4731157128364,3.52688428716358,9.3558282208589,8.8150289017341,8.5195530726257,92.78403567957,61,671,591,16166,1,7
"long_cut =  5 ; prob =  0.07",6.83060109289618,97.1713313838993,2.82866861610074,9.54198473282443,7.96178343949045,7.24217844727694,93.3901309394477,50,682,474,16283,1,7
"long_cut =  5 ; prob =  0.08",5.05464480874317,97.6905173957152,2.30948260428477,8.72641509433962,6.40138408304498,5.51909307875895,93.8132540454,37,695,387,16370,1,7
"long_cut =  5 ; prob =  0.09",3.82513661202186,98.0903503013666,1.90964969863341,8.04597701149425,5.18518518518519,4.27350427350427,94.1448910743896,28,704,320,16437,1,7
"long_cut =  5 ; prob =  0.1",3.68852459016393,98.3111535477711,1.68884645222892,8.70967741935484,5.18234165067178,4.1692402717727,94.3507347475556,27,705,283,16474,1,7
"long_cut =  5 ; prob =  0.11",3.41530054644809,98.5140538282509,1.48594617174912,9.12408759124088,4.97017892644135,3.90381011867583,94.5337069014809,25,707,249,16508,1,7
"long_cut =  5 ; prob =  0.12",3.14207650273224,98.7050187981142,1.29498120188578,9.58333333333333,4.73251028806584,3.63005050505051,94.7052432957859,23,709,217,16540,1,7
"long_cut =  5 ; prob =  0.13",2.86885245901639,98.830339559587,1.16966044041296,9.67741935483871,4.42571127502634,3.33863275039746,94.8138830121791,21,711,196,16561,1,7
"long_cut =  5 ; prob =  0.14",2.45901639344262,98.9317896998269,1.06821030017307,9.13705583756345,3.8751345532831,2.88,94.8939333295214,18,714,179,16578,1,7
"long_cut =  5 ; prob =  0.15",2.18579234972678,98.9735632869845,1.02643671301546,8.51063829787234,3.47826086956522,2.56739409499358,94.9225227285722,16,716,172,16585,1,7
"long_cut =  5 ; prob =  0.16",2.04918032786885,99.0451751506833,0.954824849316704,8.57142857142857,3.30760749724366,2.41701579116984,94.9854194064841,15,717,160,16597,1,7
"long_cut =  5 ; prob =  0.17",2.04918032786885,99.0571104612998,0.942889538700242,8.67052023121387,3.31491712707182,2.41857465333763,94.9968551661044,15,717,158,16599,1,7
"long_cut =  5 ; prob =  0.18",2.04918032786885,99.0929163931491,0.907083606850867,8.98203592814371,3.33704115684093,2.4232633279483,95.0311624449654,15,717,152,16605,1,7
"long_cut =  5 ; prob =  0.19",2.04918032786885,99.1466252909232,0.853374709076804,9.49367088607595,3.37078651685393,2.43033052495139,95.0826233632569,15,717,143,16614,1,7
"long_cut =  5 ; prob =  0.2",2.04918032786885,99.1883988780808,0.811601121919203,9.93377483443709,3.39750849377123,2.4358557973368,95.1226485219281,15,717,136,16621,1,7
"long_cut =  5 ; prob =  0.21",1.77595628415301,99.2301724652384,0.769827534761591,9.15492957746479,2.97482837528604,2.11726384364821,95.1512379209789,13,719,129,16628,1,7
"long_cut =  5 ; prob =  0.22",1.50273224043716,99.2600107417796,0.739989258220441,8.14814814814815,2.53748558246828,1.79562520404832,95.1683915604094,11,721,124,16633,1,7
"long_cut =  5 ; prob =  0.23",1.50273224043716,99.2659783970878,0.734021602912216,8.2089552238806,2.54041570438799,1.79621162638798,95.1741094402196,11,721,123,16634,1,7
"long_cut =  5 ; prob =  0.24",1.50273224043716,99.2898490183207,0.710150981679303,8.46153846153846,2.55220417633411,1.79856115107914,95.1969809594602,11,721,119,16638,1,7
"long_cut =  5 ; prob =  0.25",1.50273224043716,99.3077519842454,0.692248015754615,8.66141732283465,2.56111757857974,1.80032733224223,95.2141345988907,11,721,116,16641,1,7
"long_cut =  5 ; prob =  0.26",1.36612021857923,99.3375902607865,0.662409739213465,8.26446280991736,2.34466588511137,1.63988192850115,95.2370061181314,10,722,111,16646,1,7
"long_cut =  5 ; prob =  0.27",1.36612021857923,99.3674285373277,0.632571462672316,8.62068965517241,2.35849056603774,1.64257555847569,95.2655955171822,10,722,106,16651,1,7
"long_cut =  5 ; prob =  0.28",1.36612021857923,99.3793638479441,0.620636152055853,8.7719298245614,2.36406619385343,1.64365548980934,95.2770312768026,10,722,104,16653,1,7
"long_cut =  5 ; prob =  0.29",1.36612021857923,99.4211374351017,0.578862564898253,9.34579439252336,2.38379022646007,1.64744645799012,95.3170564354737,10,722,97,16660,1,7
"long_cut =  5 ; prob =  0.3",1.36612021857923,99.4330727457182,0.56692725428179,9.52380952380952,2.389486260454,1.64853280580284,95.3284921950941,10,722,95,16662,1,7
"long_cut =  5 ; prob =  0.31",1.36612021857923,99.4509757116429,0.549024288357103,9.80392156862745,2.39808153477218,1.65016501650165,95.3456458345246,10,722,92,16665,1,7
"long_cut =  5 ; prob =  0.32",1.36612021857923,99.4569433669511,0.543056633048877,9.9009900990099,2.40096038415366,1.65070980521624,95.3513637143347,10,722,91,16666,1,7
"long_cut =  5 ; prob =  0.33",1.36612021857923,99.4569433669511,0.543056633048877,9.9009900990099,2.40096038415366,1.65070980521624,95.3513637143347,10,722,91,16666,1,7
"long_cut =  5 ; prob =  0.34",1.36612021857923,99.4748463328758,0.52515366712419,10.2040816326531,2.40963855421687,1.65234633179114,95.3685173537652,10,722,88,16669,1,7
"long_cut =  5 ; prob =  0.35",1.36612021857923,99.4808139881841,0.519186011815953,10.3092783505155,2.41254523522316,1.65289256198347,95.3742352335754,10,722,87,16670,1,7
"long_cut =  5 ; prob =  0.36",1.36612021857923,99.4808139881841,0.519186011815953,10.3092783505155,2.41254523522316,1.65289256198347,95.3742352335754,10,722,87,16670,1,7
"long_cut =  5 ; prob =  0.37",1.36612021857923,99.4867816434923,0.513218356507728,10.4166666666667,2.41545893719807,1.65343915343915,95.3799531133856,10,722,86,16671,1,7
"long_cut =  5 ; prob =  0.38",1.36612021857923,99.4867816434923,0.513218356507728,10.4166666666667,2.41545893719807,1.65343915343915,95.3799531133856,10,722,86,16671,1,7
"long_cut =  5 ; prob =  0.39",1.36612021857923,99.4987169541087,0.501283045891265,10.6382978723404,2.42130750605327,1.65453342157512,95.3913888730059,10,722,84,16673,1,7
"long_cut =  5 ; prob =  0.4",1.36612021857923,99.504684609417,0.49531539058304,10.752688172043,2.42424242424242,1.65508109897385,95.3971067528161,10,722,83,16674,1,7
"long_cut =  5 ; prob =  0.41",1.09289617486339,99.504684609417,0.49531539058304,8.79120879120879,1.94410692588092,1.32494203378602,95.3856709931957,8,724,83,16674,1,7
"long_cut =  5 ; prob =  0.42",1.09289617486339,99.5106522647252,0.489347735274814,8.88888888888889,1.94647201946472,1.32538104705103,95.3913888730059,8,724,82,16675,1,7
"long_cut =  5 ; prob =  0.43",1.09289617486339,99.5106522647252,0.489347735274814,8.88888888888889,1.94647201946472,1.32538104705103,95.3913888730059,8,724,82,16675,1,7
"long_cut =  5 ; prob =  0.44",1.09289617486339,99.5106522647252,0.489347735274814,8.88888888888889,1.94647201946472,1.32538104705103,95.3913888730059,8,724,82,16675,1,7
"long_cut =  5 ; prob =  0.45",1.09289617486339,99.5106522647252,0.489347735274814,8.88888888888889,1.94647201946472,1.32538104705103,95.3913888730059,8,724,82,16675,1,7
"long_cut =  5 ; prob =  0.46",0.819672131147541,99.5225875753416,0.477412424658352,6.97674418604651,1.46699266503667,0.99535500995355,95.3913888730059,6,726,80,16677,1,7
"long_cut =  5 ; prob =  0.47",0.819672131147541,99.5285552306499,0.471444769350127,7.05882352941176,1.468788249694,0.995685363425158,95.3971067528161,6,726,79,16678,1,7
"long_cut =  5 ; prob =  0.48",0.819672131147541,99.5285552306499,0.471444769350127,7.05882352941176,1.468788249694,0.995685363425158,95.3971067528161,6,726,79,16678,1,7
"long_cut =  5 ; prob =  0.49",0.819672131147541,99.5345228859581,0.46547711404189,7.14285714285714,1.47058823529412,0.99601593625498,95.4028246326262,6,726,78,16679,1,7
"long_cut =  5 ; prob =  0.5",0.819672131147541,99.5464581965746,0.453541803425439,7.31707317073171,1.47420147420147,0.996677740863787,95.4142603922465,6,726,76,16681,1,7
"long_cut =  5 ; prob =  0.51",0.819672131147541,99.5464581965746,0.453541803425439,7.31707317073171,1.47420147420147,0.996677740863787,95.4142603922465,6,726,76,16681,1,7
"long_cut =  5 ; prob =  0.52",0.819672131147541,99.5464581965746,0.453541803425439,7.31707317073171,1.47420147420147,0.996677740863787,95.4142603922465,6,726,76,16681,1,7
"long_cut =  5 ; prob =  0.53",0.819672131147541,99.5464581965746,0.453541803425439,7.31707317073171,1.47420147420147,0.996677740863787,95.4142603922465,6,726,76,16681,1,7
"long_cut =  5 ; prob =  0.54",0.819672131147541,99.5464581965746,0.453541803425439,7.31707317073171,1.47420147420147,0.996677740863787,95.4142603922465,6,726,76,16681,1,7
"long_cut =  5 ; prob =  0.55",0.819672131147541,99.5524258518828,0.447574148117202,7.40740740740741,1.4760147601476,0.997008973080758,95.4199782720567,6,726,75,16682,1,7
"long_cut =  5 ; prob =  0.56",0.819672131147541,99.5643611624993,0.435638837500751,7.59493670886076,1.47965474722565,0.99767209843698,95.4314140316771,6,726,73,16684,1,7
"long_cut =  5 ; prob =  0.57",0.819672131147541,99.5643611624993,0.435638837500751,7.59493670886076,1.47965474722565,0.99767209843698,95.4314140316771,6,726,73,16684,1,7
"long_cut =  5 ; prob =  0.58",0.819672131147541,99.5703288178075,0.429671182192515,7.69230769230769,1.48148148148148,0.998003992015968,95.4371319114872,6,726,72,16685,1,7
"long_cut =  5 ; prob =  0.59",0.819672131147541,99.5822641284239,0.417735871576053,7.89473684210526,1.48514851485149,0.99866844207723,95.4485676711076,6,726,70,16687,1,7
"long_cut =  5 ; prob =  0.6",0.819672131147541,99.5882317837322,0.411768216267827,8,1.48698884758364,0.999000999000999,95.4542855509177,6,726,69,16688,1,7
"long_cut =  5 ; prob =  0.61",0.819672131147541,99.5941994390404,0.405800560959602,8.10810810810811,1.48883374689826,0.999333777481679,95.4600034307279,6,726,68,16689,1,7
"long_cut =  5 ; prob =  0.62",0.819672131147541,99.6001670943486,0.399832905651365,8.21917808219178,1.49068322981366,0.999666777740753,95.4657213105381,6,726,67,16690,1,7
"long_cut =  5 ; prob =  0.63",0.819672131147541,99.6121024049651,0.387897595034914,8.45070422535211,1.49439601494396,1.00033344448149,95.4771570701584,6,726,65,16692,1,7
"long_cut =  5 ; prob =  0.64",0.819672131147541,99.6240377155816,0.375962284418452,8.69565217391304,1.49812734082397,1.001001001001,95.4885928297787,6,726,63,16694,1,7
"long_cut =  5 ; prob =  0.65",0.819672131147541,99.6300053708898,0.369994629110226,8.82352941176471,1.5,1.00133511348465,95.4943107095889,6,726,62,16695,1,7
"long_cut =  5 ; prob =  0.66",0.819672131147541,99.6300053708898,0.369994629110226,8.82352941176471,1.5,1.00133511348465,95.4943107095889,6,726,62,16695,1,7
"long_cut =  5 ; prob =  0.67",0.819672131147541,99.6300053708898,0.369994629110226,8.82352941176471,1.5,1.00133511348465,95.4943107095889,6,726,62,16695,1,7
"long_cut =  5 ; prob =  0.68",0.819672131147541,99.635973026198,0.36402697380199,8.95522388059701,1.50187734668335,1.0016694490818,95.5000285893991,6,726,61,16696,1,7
"long_cut =  5 ; prob =  0.69",0.819672131147541,99.635973026198,0.36402697380199,8.95522388059701,1.50187734668335,1.0016694490818,95.5000285893991,6,726,61,16696,1,7
"long_cut =  5 ; prob =  0.7",0.819672131147541,99.635973026198,0.36402697380199,8.95522388059701,1.50187734668335,1.0016694490818,95.5000285893991,6,726,61,16696,1,7
"long_cut =  5 ; prob =  0.71",0.819672131147541,99.635973026198,0.36402697380199,8.95522388059701,1.50187734668335,1.0016694490818,95.5000285893991,6,726,61,16696,1,7
"long_cut =  5 ; prob =  0.72",0.819672131147541,99.635973026198,0.36402697380199,8.95522388059701,1.50187734668335,1.0016694490818,95.5000285893991,6,726,61,16696,1,7
