"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.19219975946395,8.04705106359589,17.9508558536466,4.19219975946395,732,0,16729,0,1,4
"long_cut =  5 ; prob =  0.01",87.431693989071,21.2624783310419,78.7375216689581,4.63365189690125,8.8008800880088,19.115890083632,24.036424030697,640,92,13172,3557,1,4
"long_cut =  5 ; prob =  0.02",76.9125683060109,30.8745292605655,69.1254707394345,4.64253319040158,8.75651294812971,18.6981069412155,32.8045358226906,563,169,11564,5165,1,4
"long_cut =  5 ; prob =  0.03",63.7978142076503,69.525972861498,30.474027138502,8.39173405211141,14.8324599015404,27.4932297185918,69.2858370081897,467,265,5098,11631,1,4
"long_cut =  5 ; prob =  0.04",46.448087431694,83.5136589156555,16.4863410843445,10.9748224661072,17.7545691906005,28.2110852970461,81.9597961170609,340,392,2758,13971,1,4
"long_cut =  5 ; prob =  0.05",33.879781420765,89.4614143104788,10.5385856895212,12.3321730482347,18.0823915421072,25.1062968212189,87.1313212301701,248,484,1763,14966,1,4
"long_cut =  5 ; prob =  0.06",24.3169398907104,92.6415207125351,7.35847928746488,12.6330731014904,16.6277440448389,20.5210975328568,89.7772177996678,178,554,1231,15498,1,4
"long_cut =  5 ; prob =  0.07",19.1256830601093,94.620120748401,5.37987925159902,13.4615384615385,15.8013544018059,17.6411290322581,91.4552431132238,140,592,900,15829,1,4
"long_cut =  5 ; prob =  0.08",14.0710382513661,95.8515153326559,4.14848466734413,12.9234629861982,13.4728580771746,13.8255033557047,92.4231143691656,103,629,694,16035,1,4
"long_cut =  5 ; prob =  0.09",10.9289617486339,96.6883854384602,3.31161456153984,12.6182965299685,11.7130307467057,11.2296462661426,93.0931790848176,80,652,554,16175,1,4
"long_cut =  5 ; prob =  0.1",8.46994535519126,97.2981050869747,2.70189491302528,12.0622568093385,9.95184590690209,9.00639163277164,93.5742511883626,62,670,452,16277,1,4
"long_cut =  5 ; prob =  0.11",7.10382513661202,97.7404507143284,2.25954928567159,12.093023255814,8.95008605851979,7.74270399047052,93.9407823148731,52,680,378,16351,1,4
"long_cut =  5 ; prob =  0.12",5.19125683060109,98.0512881821986,1.94871181780142,10.4395604395604,6.93430656934307,5.77156743620899,94.1584101712388,38,694,326,16403,1,4
"long_cut =  5 ; prob =  0.13",4.37158469945355,98.2724609958754,1.72753900412458,9.96884735202492,6.07787274453941,4.92459218220991,94.3359486856423,32,700,289,16440,1,4
"long_cut =  5 ; prob =  0.14",3.68852459016393,98.4936338095523,1.50636619044773,9.67741935483871,5.34124629080119,4.20954162768943,94.5192142488975,27,705,252,16477,1,4
"long_cut =  5 ; prob =  0.15",3.27868852459016,98.6251419690358,1.3748580309642,9.44881889763779,4.86815415821501,3.77121307353866,94.6280281770804,24,708,230,16499,1,4
"long_cut =  5 ; prob =  0.16",3.27868852459016,98.774583059358,1.225416940642,10.4803493449782,4.99479708636837,3.80107697180868,94.7712043983735,24,708,205,16524,1,4
"long_cut =  5 ; prob =  0.17",3.27868852459016,98.9120688624544,1.08793113754558,11.6504854368932,5.11727078891258,3.82897255902999,94.9029265219632,24,708,182,16547,1,4
"long_cut =  5 ; prob =  0.18",2.73224043715847,99.0196664474864,0.980333552513601,10.8695652173913,4.36681222707424,3.2133676092545,94.9831052058874,20,712,164,16565,1,4
"long_cut =  5 ; prob =  0.19",2.73224043715847,99.1033534580668,0.896646541933166,11.7647058823529,4.43458980044346,3.22788896061975,95.0632838898116,20,712,150,16579,1,4
"long_cut =  5 ; prob =  0.2",2.18579234972678,99.1631298941957,0.836870105804288,10.2564102564103,3.6036036036036,2.59403372243839,95.0976461829219,16,716,140,16589,1,4
"long_cut =  5 ; prob =  0.21",2.18579234972678,99.2109510430988,0.789048956901195,10.8108108108108,3.63636363636364,2.60078023407022,95.1434625737357,16,716,132,16597,1,4
"long_cut =  5 ; prob =  0.22",1.63934426229508,99.2647498356148,0.735250164385204,8.88888888888889,2.7681660899654,1.9588638589618,95.1720978179944,12,720,123,16606,1,4
"long_cut =  5 ; prob =  0.23",1.09289617486339,99.3364815589695,0.663518441030542,6.72268907563025,1.88014101057579,1.31276665572694,95.2179142088082,8,724,111,16618,1,4
"long_cut =  5 ; prob =  0.24",1.09289617486339,99.3962579950983,0.603742004901664,7.3394495412844,1.90249702734839,1.31708923279552,95.2751846973255,8,724,101,16628,1,4
