"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.1854880210418,8.03468525327918,17.9262379389724,4.1854880210418,732,0,16757,0,1,6
"long_cut =  5 ; prob =  0.01",100,0,100,4.1854880210418,8.03468525327918,17.9262379389724,4.1854880210418,732,0,16757,0,1,6
"long_cut =  5 ; prob =  0.02",76.0928961748634,64.6118040221997,35.3881959778003,8.58640357638354,15.431500207785,29.5804567180032,65.0923437589342,557,175,5930,10827,1,6
"long_cut =  5 ; prob =  0.03",44.9453551912568,84.7407053768574,15.2592946231426,11.3998613998614,18.1868435599779,28.2937736498108,83.0750757619075,329,403,2557,14200,1,6
"long_cut =  5 ; prob =  0.04",28.2786885245902,91.5557677388554,8.44423226114459,12.7620221948212,17.5870858113849,22.7472527472527,88.9073131682772,207,525,1415,15342,1,6
"long_cut =  5 ; prob =  0.05",18.7158469945355,94.7484633287581,5.25153667124187,13.4709931170108,15.6660949113779,17.3637515842839,91.5661272800046,137,595,880,15877,1,6
"long_cut =  5 ; prob =  0.06",13.6612021857924,96.3298919854389,3.67010801456108,13.986013986014,13.8217000691085,13.7249519626681,92.8698038767225,100,632,615,16142,1,6
"long_cut =  5 ; prob =  0.07",9.69945355191257,97.4697141493107,2.53028585068926,14.3434343434343,11.5729421352893,10.3710195734736,93.7961004059695,71,661,424,16333,1,6
"long_cut =  5 ; prob =  0.08",6.9672131147541,98.0127707823596,1.98722921764038,13.28125,9.13978494623656,7.69927536231884,94.2020698724913,51,681,333,16424,1,6
"long_cut =  5 ; prob =  0.09",5.19125683060109,98.4543772751686,1.54562272483142,12.7946127946128,7.38581146744412,5.89147286821705,94.5508605409114,38,694,259,16498,1,6
"long_cut =  5 ; prob =  0.1",3.96174863387978,98.776630661813,1.22336933818703,12.3931623931624,6.00414078674948,4.58570524984187,94.8081651323689,29,703,205,16552,1,6
"long_cut =  5 ; prob =  0.11",3.27868852459016,98.9974339082175,1.00256609178254,12.5,5.19480519480519,3.84615384615385,94.9911372862942,24,708,168,16589,1,6
"long_cut =  5 ; prob =  0.12",3.27868852459016,99.1346899803067,0.865310019693266,14.2011834319527,5.32741398446171,3.87471746851792,95.1226485219281,24,708,145,16612,1,6
"long_cut =  5 ; prob =  0.13",3.00546448087432,99.2659783970878,0.734021602912216,15.1724137931034,5.01710376282782,3.57956394402864,95.2370061181314,22,710,123,16634,1,6
"long_cut =  5 ; prob =  0.14",2.86885245901639,99.4211374351017,0.578862564898253,17.7966101694915,4.94117647058823,3.44714379514117,95.3799531133856,21,711,97,16660,1,6
"long_cut =  5 ; prob =  0.15",2.45901639344262,99.5404905412663,0.459509458733665,18.9473684210526,4.35308343409915,2.97717499173007,95.4771570701584,18,714,77,16680,1,6
"long_cut =  5 ; prob =  0.16",2.45901639344262,99.6121024049651,0.387897595034914,21.6867469879518,4.41717791411043,2.98904018598472,95.5457716278804,18,714,65,16692,1,6
"long_cut =  5 ; prob =  0.17",2.45901639344262,99.635973026198,0.36402697380199,22.7848101265823,4.43896424167694,2.99301629531094,95.5686431471211,18,714,61,16696,1,6
"long_cut =  5 ; prob =  0.18",1.91256830601093,99.6538759921227,0.346124007877302,19.4444444444444,3.48258706467662,2.33333333333333,95.5629252673109,14,718,58,16699,1,6
"long_cut =  5 ; prob =  0.19",1.36612021857923,99.7075848898968,0.292415110103239,16.9491525423729,2.52844500632111,1.6739203213927,95.5915146663617,10,722,49,16708,1,6
"long_cut =  5 ; prob =  0.2",1.36612021857923,99.7374231664379,0.262576833562089,18.5185185185185,2.54452926208651,1.6767270288397,95.6201040654125,10,722,44,16713,1,6
"long_cut =  5 ; prob =  0.21",1.36612021857923,99.7612937876708,0.238706212329176,20,2.55754475703325,1.67897918065816,95.6429755846532,10,722,40,16717,1,6
"long_cut =  5 ; prob =  0.22",1.09289617486339,99.8090350301367,0.190964969863339,20,2.07253886010363,1.34770889487871,95.6772828635142,8,724,32,16725,1,6
"long_cut =  5 ; prob =  0.23",1.09289617486339,99.8209703407531,0.179029659246877,21.0526315789474,2.07792207792208,1.34861766689144,95.6887186231345,8,724,30,16727,1,6
"long_cut =  5 ; prob =  0.24",1.09289617486339,99.8269379960613,0.173062003938651,21.6216216216216,2.08062418725618,1.34907251264755,95.6944365029447,8,724,29,16728,1,6
"long_cut =  5 ; prob =  0.25",0.956284153005465,99.8388733066778,0.161126693322189,20.5882352941176,1.82767624020888,1.18163403106009,95.7001543827549,7,725,27,16730,1,6
"long_cut =  5 ; prob =  0.26",0.956284153005465,99.8388733066778,0.161126693322189,20.5882352941176,1.82767624020888,1.18163403106009,95.7001543827549,7,725,27,16730,1,6
"long_cut =  5 ; prob =  0.27",0.956284153005465,99.8508086172943,0.149191382705738,21.875,1.83246073298429,1.18243243243243,95.7115901423752,7,725,25,16732,1,6
"long_cut =  5 ; prob =  0.28",0.956284153005465,99.8567762726025,0.143223727397501,22.5806451612903,1.8348623853211,1.18283203785063,95.7173080221854,7,725,24,16733,1,6
"long_cut =  5 ; prob =  0.29",0.956284153005465,99.8567762726025,0.143223727397501,22.5806451612903,1.8348623853211,1.18283203785063,95.7173080221854,7,725,24,16733,1,6
"long_cut =  5 ; prob =  0.3",0.956284153005465,99.8567762726025,0.143223727397501,22.5806451612903,1.8348623853211,1.18283203785063,95.7173080221854,7,725,24,16733,1,6
"long_cut =  5 ; prob =  0.31",0.956284153005465,99.8567762726025,0.143223727397501,22.5806451612903,1.8348623853211,1.18283203785063,95.7173080221854,7,725,24,16733,1,6
"long_cut =  5 ; prob =  0.32",0.956284153005465,99.8567762726025,0.143223727397501,22.5806451612903,1.8348623853211,1.18283203785063,95.7173080221854,7,725,24,16733,1,6
"long_cut =  5 ; prob =  0.33",0.956284153005465,99.8567762726025,0.143223727397501,22.5806451612903,1.8348623853211,1.18283203785063,95.7173080221854,7,725,24,16733,1,6
