"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.1854880210418,8.03468525327918,17.9262379389724,4.1854880210418,732,0,16757,0,1,2
"long_cut =  5 ; prob =  0.01",99.4535519125683,0.674345049829922,99.3256549501701,4.19065162330187,8.04242156429518,17.9310344827586,4.80873692034993,728,4,16644,113,1,2
"long_cut =  5 ; prob =  0.02",66.2568306010929,70.7226830578266,29.2773169421734,8.99647560749397,15.8419075616528,29.150138237769,70.5357653382126,485,247,4906,11851,1,2
"long_cut =  5 ; prob =  0.03",42.6229508196721,85.4687593244614,14.5312406755386,11.3578449217328,17.936188559931,27.488986784141,83.675453141975,312,420,2435,14322,1,2
"long_cut =  5 ; prob =  0.04",28.551912568306,91.4423822879991,8.55761771200095,12.7206329884358,17.6,22.8615182673376,88.8101092115044,209,523,1434,15323,1,2
"long_cut =  5 ; prob =  0.05",20.3551912568306,94.2233096616339,5.77669033836605,13.3393017009848,16.1168199026501,18.4177997527812,91.1315684144319,149,583,968,15789,1,2
"long_cut =  5 ; prob =  0.06",15.5737704918033,95.8405442501641,4.15945574983589,14.0567200986436,14.7764095917045,15.2447178389944,92.4809880496312,114,618,697,16060,1,2
"long_cut =  5 ; prob =  0.07",11.3387978142077,96.8550456525631,3.14495434743689,13.6065573770492,12.3695976154993,11.7297908422838,93.2757733432443,83,649,527,16230,1,2
"long_cut =  5 ; prob =  0.08",9.2896174863388,97.6905173957152,2.30948260428477,14.9450549450549,11.4574557708509,10.0502512562814,93.9905083195151,68,664,387,16370,1,2
"long_cut =  5 ; prob =  0.09",6.9672131147541,98.2335740287641,1.7664259712359,14.6974063400576,9.45319740500463,7.78625954198473,94.4136314254674,51,681,296,16461,1,2
"long_cut =  5 ; prob =  0.1",5.32786885245902,98.6274392791073,1.37256072089276,14.4981412639405,7.79220779220779,6.09946825148577,94.7223969352164,39,693,230,16527,1,2
"long_cut =  5 ; prob =  0.11",5.05464480874317,98.8422748702035,1.15772512979651,16.017316017316,7.68431983385254,5.85628363406141,94.9168048487621,37,695,194,16563,1,2
"long_cut =  5 ; prob =  0.12",4.23497267759563,99.0869487378409,0.913051262159092,16.8478260869565,6.76855895196506,4.98071979434447,95.1169306421179,31,701,153,16604,1,2
"long_cut =  5 ; prob =  0.13",3.96174863387978,99.2480754311631,0.751924568836904,18.7096774193548,6.53889515219842,4.70321115796302,95.2598776373721,29,703,126,16631,1,2
"long_cut =  5 ; prob =  0.14",3.55191256830601,99.3435579160948,0.656442083905229,19.1176470588235,5.99078341013825,4.24281984334204,95.3342100749042,26,706,110,16647,1,2
"long_cut =  5 ; prob =  0.15",2.45901639344262,99.3972668138688,0.602733186131166,15.1260504201681,4.23031727379553,2.95372497538562,95.3399279547144,18,714,101,16656,1,2
"long_cut =  5 ; prob =  0.16",2.18579234972678,99.4450080563347,0.554991943665339,14.6788990825688,3.80499405469679,2.63417846559104,95.3742352335754,16,716,93,16664,1,2
"long_cut =  5 ; prob =  0.17",2.18579234972678,99.5345228859581,0.46547711404189,17.0212765957447,3.87409200968523,2.64725347452019,95.4600034307279,16,716,78,16679,1,2
"long_cut =  5 ; prob =  0.18",1.77595628415301,99.5882317837322,0.411768216267827,15.8536585365854,3.19410319410319,2.15946843853821,95.4943107095889,13,719,69,16688,1,2
"long_cut =  5 ; prob =  0.19",1.77595628415301,99.6300053708898,0.369994629110226,17.3333333333333,3.22180916976456,2.16450216450216,95.53433586826,13,719,62,16695,1,2
"long_cut =  5 ; prob =  0.2",1.22950819672131,99.6598436474309,0.340156352569077,13.6363636363636,2.25563909774436,1.50300601202405,95.5400537480702,9,723,57,16700,1,2
"long_cut =  5 ; prob =  0.21",1.22950819672131,99.6896819239721,0.310318076027927,14.7540983606557,2.26986128625473,1.50552024088324,95.5686431471211,9,723,52,16705,1,2
"long_cut =  5 ; prob =  0.22",1.22950819672131,99.713552545205,0.286447454795014,15.7894736842105,2.28136882129278,1.50753768844221,95.5915146663617,9,723,48,16709,1,2
"long_cut =  5 ; prob =  0.23",1.22950819672131,99.7493584770544,0.250641522945638,17.6470588235294,2.29885057471264,1.51057401812689,95.6258219452227,9,723,42,16715,1,2
"long_cut =  5 ; prob =  0.24",0.819672131147541,99.7732290982873,0.226770901712714,13.6363636363636,1.54639175257732,1.00942126514132,95.6315398250329,6,726,38,16719,1,2
"long_cut =  5 ; prob =  0.25",0.819672131147541,99.7732290982873,0.226770901712714,13.6363636363636,1.54639175257732,1.00942126514132,95.6315398250329,6,726,38,16719,1,2
"long_cut =  5 ; prob =  0.26",0.546448087431694,99.8090350301367,0.190964969863339,11.1111111111111,1.04166666666667,0.674763832658569,95.6544113442736,4,728,32,16725,1,2
"long_cut =  5 ; prob =  0.27",0.409836065573771,99.8329056513696,0.167094348630425,9.67741935483871,0.786369593709043,0.506928016221697,95.671564983704,3,729,28,16729,1,2
"long_cut =  5 ; prob =  0.28",0.409836065573771,99.8388733066778,0.161126693322189,10,0.78740157480315,0.50709939148073,95.6772828635142,3,729,27,16730,1,2
"long_cut =  5 ; prob =  0.29",0.409836065573771,99.8627439279107,0.137256072089276,11.5384615384615,0.79155672823219,0.50778605280975,95.7001543827549,3,729,23,16734,1,2
"long_cut =  5 ; prob =  0.3",0.409836065573771,99.8627439279107,0.137256072089276,11.5384615384615,0.79155672823219,0.50778605280975,95.7001543827549,3,729,23,16734,1,2
"long_cut =  5 ; prob =  0.31",0.136612021857924,99.8806468938354,0.119353106164588,4.76190476190476,0.265604249667995,0.169548999660902,95.705872262565,1,731,20,16737,1,2
"long_cut =  5 ; prob =  0.32",0.136612021857924,99.8866145491436,0.113385450856363,5,0.265957446808511,0.169606512890095,95.7115901423752,1,731,19,16738,1,2
"long_cut =  5 ; prob =  0.33",0,99.9045175150683,0.0954824849316749,0,NA,NA,95.7230259019955,0,732,16,16741,1,2
"long_cut =  5 ; prob =  0.34",0,99.9104851703766,0.0895148296234383,0,NA,NA,95.7287437818057,0,732,15,16742,1,2
"long_cut =  5 ; prob =  0.35",0,99.9104851703766,0.0895148296234383,0,NA,NA,95.7287437818057,0,732,15,16742,1,2
"long_cut =  5 ; prob =  0.36",0,99.9164528256848,0.0835471743152127,0,NA,NA,95.7344616616159,0,732,14,16743,1,2
"long_cut =  5 ; prob =  0.37",0,99.9164528256848,0.0835471743152127,0,NA,NA,95.7344616616159,0,732,14,16743,1,2
"long_cut =  5 ; prob =  0.38",0,99.9164528256848,0.0835471743152127,0,NA,NA,95.7344616616159,0,732,14,16743,1,2
"long_cut =  5 ; prob =  0.39",0,99.9164528256848,0.0835471743152127,0,NA,NA,95.7344616616159,0,732,14,16743,1,2
"long_cut =  5 ; prob =  0.4",0,99.9164528256848,0.0835471743152127,0,NA,NA,95.7344616616159,0,732,14,16743,1,2
"long_cut =  5 ; prob =  0.41",0,99.9343557916095,0.0656442083905251,0,NA,NA,95.7516153010464,0,732,11,16746,1,2
