"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.1854880210418,8.03468525327918,17.9262379389724,4.1854880210418,732,0,16757,0,1,10
"long_cut =  5 ; prob =  0.01",99.1803278688525,0.608700841439399,99.3912991585606,4.17697485760313,8.01634185391708,17.8738490324487,4.73440448281777,726,6,16655,102,1,10
"long_cut =  5 ; prob =  0.02",66.9398907103825,69.7081816554276,30.2918183445724,8.80344951491196,15.5604953953636,28.8438898045679,69.5923151695351,490,242,5076,11681,1,10
"long_cut =  5 ; prob =  0.03",43.3060109289617,84.6810288237751,15.3189711762249,10.9916782246879,17.533185840708,27.2711631108052,82.9492824060838,317,415,2567,14190,1,10
"long_cut =  5 ; prob =  0.04",30.4644808743169,90.869487378409,9.13051262159098,12.7210496292071,17.9476861167002,23.8196966460158,88.3412430670707,223,509,1530,15227,1,10
"long_cut =  5 ; prob =  0.05",20.9016393442623,94.0025064152295,5.99749358477054,13.2124352331606,16.1904761904762,18.7224669603524,90.9428783806964,153,579,1005,15752,1,10
"long_cut =  5 ; prob =  0.06",15.3005464480874,95.7928030076983,4.20719699230172,13.7086903304774,14.4609425435765,14.9532710280374,92.4238092515295,112,620,705,16052,1,10
"long_cut =  5 ; prob =  0.07",12.1584699453552,96.8371426866384,3.16285731336158,14.3780290791599,13.1754256106588,12.5458133634057,93.2929269826748,89,643,530,16227,1,10
"long_cut =  5 ; prob =  0.08",8.87978142076503,97.6785820850988,2.32141791490124,14.3171806167401,10.9612141652614,9.60969840331165,93.9619189204643,65,667,389,16368,1,10
"long_cut =  5 ; prob =  0.09",7.51366120218579,98.1679298203736,1.83207017962642,15.1933701657459,10.054844606947,8.35866261398176,94.3736062667963,55,677,307,16450,1,10
"long_cut =  5 ; prob =  0.1",6.01092896174863,98.5558274154085,1.44417258459152,15.3846153846154,8.64440078585462,6.84505289359054,94.6823717765453,44,688,242,16515,1,10
"long_cut =  5 ; prob =  0.11",5.19125683060109,98.8005012830459,1.19949871695411,15.8995815899582,7.826982492276,5.99936848752763,94.8824975699011,38,694,201,16556,1,10
"long_cut =  5 ; prob =  0.12",3.82513661202186,99.063078116608,0.936921883392017,15.1351351351351,6.10687022900763,4.49726951493736,95.0769054834467,28,704,157,16600,1,10
"long_cut =  5 ; prob =  0.13",3.82513661202186,99.2063018440055,0.793698155994504,17.3913043478261,6.27099664053751,4.53221107154419,95.2141345988907,28,704,133,16624,1,10
"long_cut =  5 ; prob =  0.14",2.73224043715847,99.3316226054783,0.668377394521691,15.1515151515152,4.62962962962963,3.26797385620915,95.2884670364229,20,712,112,16645,1,10
"long_cut =  5 ; prob =  0.15",2.73224043715847,99.4092021244853,0.590797875514715,16.8067226890756,4.70035252643948,3.28191663931736,95.3627994739551,20,712,99,16658,1,10
"long_cut =  5 ; prob =  0.16",2.18579234972678,99.4987169541087,0.501283045891265,16,3.84615384615385,2.64200792602378,95.4256961518669,16,716,84,16673,1,10
"long_cut =  5 ; prob =  0.17",1.91256830601093,99.5524258518828,0.447574148117202,15.7303370786517,3.41047503045067,2.32018561484919,95.4657213105381,14,718,75,16682,1,10
"long_cut =  5 ; prob =  0.18",1.91256830601093,99.635973026198,0.36402697380199,18.6666666666667,3.46964064436183,2.33100233100233,95.5457716278804,14,718,61,16696,1,10
"long_cut =  5 ; prob =  0.19",1.91256830601093,99.6658113027391,0.334188697260851,20,3.49127182044888,2.33488992661775,95.5743610269312,14,718,56,16701,1,10
