"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.25781479092135,8.16785734375879,18.1909295915811,4.25781479092135,726,0,16325,0,1,8
"long_cut =  5 ; prob =  0.01",90.0826446280992,33.0964777947933,66.9035222052067,5.6496199032481,10.6324174930906,22.5828729281768,35.5228432350009,654,72,10922,5403,1,8
"long_cut =  5 ; prob =  0.02",84.7107438016529,43.1607963246554,56.8392036753446,6.21588841722256,11.5819209039548,24.0271917487107,44.9299161339511,615,111,9279,7046,1,8
"long_cut =  5 ; prob =  0.03",78.9256198347107,48.8085758039816,51.1914241960184,6.41657334826428,11.8682684341342,24.209903667399,50.0909037593103,573,153,8357,7968,1,8
"long_cut =  5 ; prob =  0.04",71.4876033057851,64.9800918836141,35.0199081163859,8.32264271969211,14.90950876185,28.3916849015317,65.2571696674682,519,207,5717,10608,1,8
"long_cut =  5 ; prob =  0.05",63.2231404958678,69.8009188361409,30.1990811638591,8.51735015772871,15.0122649223222,27.6739418786929,69.5208492170547,459,267,4930,11395,1,8
"long_cut =  5 ; prob =  0.06",55.6473829201102,81.2373660030628,18.7626339969372,11.652725699452,19.2702122585261,31.7061685763616,80.1477919183626,404,322,3063,13262,1,8
"long_cut =  5 ; prob =  0.07",45.3168044077135,86.6646248085758,13.3353751914242,13.1284916201117,20.3589108910891,30.4066543438078,84.9041111958243,329,397,2177,14148,1,8
"long_cut =  5 ; prob =  0.08",37.8787878787879,90.0091883614089,9.99081163859111,14.4281217208814,20.8966565349544,28.5862785862786,87.7895724590933,275,451,1631,14694,1,8
"long_cut =  5 ; prob =  0.09",31.129476584022,92.208269525268,7.79173047473201,15.086782376502,20.3237410071942,25.6701499318492,89.6076476452994,226,500,1272,15053,1,8
"long_cut =  5 ; prob =  0.1",27.2727272727273,93.8744257274119,6.12557427258805,16.5275459098497,20.5821205821206,24.1345685031692,91.0386487596035,198,528,1000,15325,1,8
"long_cut =  5 ; prob =  0.11",23.1404958677686,95.0076569678407,4.99234303215926,17.0905391658189,19.6606202457578,21.6104965268845,91.9476863527066,168,558,815,15510,1,8
"long_cut =  5 ; prob =  0.12",18.870523415978,95.9693721286371,4.03062787136293,17.2327044025157,18.0144641683103,18.5185185185185,92.6866459445194,137,589,658,15667,1,8
"long_cut =  5 ; prob =  0.13",16.5289256198347,96.4839203675345,3.51607963246554,17.2910662824208,16.9014084507042,16.6759310728182,93.0795847750865,120,606,574,15751,1,8
"long_cut =  5 ; prob =  0.14",14.3250688705234,96.8943338437979,3.10566615620215,17.0212765957447,15.5572176514585,14.7937411095306,93.3786874670107,104,622,507,15818,1,8
"long_cut =  5 ; prob =  0.15",13.0853994490358,97.3169984686064,2.68300153139357,17.8236397748593,15.0913423351867,13.8201920279313,93.7305729869216,95,631,438,15887,1,8
"long_cut =  5 ; prob =  0.16",11.4325068870523,97.6294027565084,2.37059724349158,17.6595744680851,13.8795986622074,12.2999407231772,93.9592985748637,83,643,387,15938,1,8
"long_cut =  5 ; prob =  0.17",9.91735537190083,97.8683001531394,2.13169984686065,17.1428571428571,12.565445026178,10.8303249097473,94.1235118174887,72,654,348,15977,1,8
"long_cut =  5 ; prob =  0.18",9.50413223140496,98.1010719754977,1.8989280245023,18.2058047493404,12.4886877828054,10.508681084374,94.32877837077,69,657,310,16015,1,8
"long_cut =  5 ; prob =  0.19",8.53994490358127,98.364471669219,1.63552833078101,18.8449848024316,11.7535545023697,9.58861738323538,94.5399096827166,62,664,267,16058,1,8
"long_cut =  5 ; prob =  0.2",7.57575757575758,98.5788667687596,1.42113323124042,19.1637630662021,10.8588351431392,8.61798809150736,94.7041229253416,55,671,232,16093,1,8
"long_cut =  5 ; prob =  0.21",6.19834710743802,98.6891271056662,1.31087289433385,17.3745173745174,9.13705583756345,7.11349984192223,94.7510409946631,45,681,214,16111,1,8
"long_cut =  5 ; prob =  0.22",5.50964187327824,98.7687595712098,1.2312404287902,16.597510373444,8.27300930713547,6.35930047694753,94.7979590639845,40,686,201,16124,1,8
"long_cut =  5 ; prob =  0.23",5.50964187327824,98.8483920367534,1.15160796324656,17.5438596491228,8.38574423480084,6.38569604086845,94.8742009266319,40,686,188,16137,1,8
"long_cut =  5 ; prob =  0.24",4.95867768595041,98.9402756508423,1.05972434915773,17.2248803827751,7.70053475935829,5.78220366206232,94.9387132719489,36,690,173,16152,1,8
"long_cut =  5 ; prob =  0.25",4.82093663911846,98.989280245023,1.01071975497703,17.5,7.55939524838013,5.63788659793815,94.9797665826051,35,691,165,16160,1,8
"long_cut =  5 ; prob =  0.26",4.54545454545455,99.0260336906585,0.973966309341501,17.1875,7.18954248366013,5.32945736434109,95.0032256172659,33,693,159,16166,1,8
"long_cut =  5 ; prob =  0.27",4.13223140495868,99.1117917304747,0.88820826952527,17.1428571428571,6.65926748057714,4.8717115946736,95.0677379625828,30,696,145,16180,1,8
"long_cut =  5 ; prob =  0.28",3.71900826446281,99.1607963246554,0.839203675344569,16.4634146341463,6.06741573033708,4.40026075619296,95.0970617559087,27,699,137,16188,1,8
"long_cut =  5 ; prob =  0.29",3.4435261707989,99.2159264931087,0.78407350689127,16.3398692810458,5.68828213879408,4.08897612037946,95.138115066565,25,701,128,16197,1,8
"long_cut =  5 ; prob =  0.3",3.4435261707989,99.2649310872894,0.735068912710568,17.2413793103448,5.74052812858783,4.09970482125287,95.1850331358865,25,701,120,16205,1,8
"long_cut =  5 ; prob =  0.31",2.89256198347107,99.3078101071976,0.692189892802453,15.6716417910448,4.88372093023256,3.45622119815668,95.202627411882,21,705,113,16212,1,8
"long_cut =  5 ; prob =  0.32",2.75482093663912,99.3384379785605,0.66156202143951,15.625,4.68384074941452,3.29815303430079,95.2260864465427,20,706,108,16217,1,8
"long_cut =  5 ; prob =  0.33",2.61707988980716,99.3568147013783,0.643185298621751,15.3225806451613,4.47058823529412,3.13738441215324,95.2378159638731,19,707,105,16220,1,8
"long_cut =  5 ; prob =  0.34",2.47933884297521,99.375191424196,0.624808575803981,15,4.25531914893617,2.97619047619048,95.2495454812034,18,708,102,16223,1,8
"long_cut =  5 ; prob =  0.35",1.65289256198347,99.3874425727412,0.612557427258809,10.7142857142857,2.86396181384248,1.9893899204244,95.2260864465427,12,714,100,16225,1,8
"long_cut =  5 ; prob =  0.36",1.65289256198347,99.4119448698315,0.588055130168452,11.1111111111111,2.87769784172662,1.99203187250996,95.2495454812034,12,714,96,16229,1,8
"long_cut =  5 ; prob =  0.37",1.37741046831956,99.4303215926493,0.569678407350693,9.70873786407767,2.41254523522316,1.6627868307283,95.2554102398686,10,716,93,16232,1,8
"long_cut =  5 ; prob =  0.38",1.2396694214876,99.47932618683,0.520673813169981,9.57446808510638,2.19512195121951,1.50100066711141,95.2964635505249,9,717,85,16240,1,8
"long_cut =  5 ; prob =  0.39",1.10192837465565,99.5038284839204,0.496171516079635,8.98876404494382,1.96319018404908,1.33645172068159,95.3140578265204,8,718,81,16244,1,8
"long_cut =  5 ; prob =  0.4",0.964187327823691,99.5038284839204,0.496171516079635,7.95454545454545,1.71990171990172,1.16978609625668,95.3081930678553,7,719,81,16244,1,8
"long_cut =  5 ; prob =  0.41",0.964187327823691,99.5283307810107,0.471669218989279,8.33333333333333,1.72839506172839,1.17135207496653,95.331652102516,7,719,77,16248,1,8
"long_cut =  5 ; prob =  0.42",0.964187327823691,99.5467075038285,0.45329249617152,8.64197530864197,1.73482032218092,1.17252931323283,95.3492463785115,7,719,74,16251,1,8
"long_cut =  5 ; prob =  0.43",0.964187327823691,99.5773353751914,0.422664624808577,9.21052631578947,1.74563591022444,1.1744966442953,95.3785701718374,7,719,69,16256,1,8
"long_cut =  5 ; prob =  0.44",0.964187327823691,99.5895865237366,0.410413476263405,9.45945945945946,1.75,1.17528542646071,95.3902996891678,7,719,67,16258,1,8
"long_cut =  5 ; prob =  0.45",0.964187327823691,99.6018376722818,0.398162327718221,9.72222222222222,1.75438596491228,1.1760752688172,95.4020292064982,7,719,65,16260,1,8
"long_cut =  5 ; prob =  0.46",0.964187327823691,99.6202143950995,0.379785604900462,10.1449275362319,1.76100628930818,1.17726202489068,95.4196234824937,7,719,62,16263,1,8
"long_cut =  5 ; prob =  0.47",0.964187327823691,99.6202143950995,0.379785604900462,10.1449275362319,1.76100628930818,1.17726202489068,95.4196234824937,7,719,62,16263,1,8
"long_cut =  5 ; prob =  0.48",0.826446280991736,99.6324655436447,0.367534456355278,9.09090909090909,1.51515151515152,1.01010101010101,95.4254882411589,6,720,60,16265,1,8
"long_cut =  5 ; prob =  0.49",0.826446280991736,99.6385911179173,0.361408882082692,9.23076923076923,1.51706700379267,1.01044122600202,95.4313529998241,6,720,59,16266,1,8
"long_cut =  5 ; prob =  0.5",0.826446280991736,99.6385911179173,0.361408882082692,9.23076923076923,1.51706700379267,1.01044122600202,95.4313529998241,6,720,59,16266,1,8
"long_cut =  5 ; prob =  0.51",0.68870523415978,99.6447166921899,0.355283307810106,7.93650793650794,1.26742712294043,0.842601954836535,95.4313529998241,5,721,58,16267,1,8
"long_cut =  5 ; prob =  0.52",0.68870523415978,99.6508422664625,0.34915773353752,8.06451612903226,1.26903553299492,0.842886041807148,95.4372177584892,5,721,57,16268,1,8
"long_cut =  5 ; prob =  0.53",0.68870523415978,99.6569678407351,0.343032159264933,8.19672131147541,1.27064803049555,0.843170320404722,95.4430825171544,5,721,56,16269,1,8
"long_cut =  5 ; prob =  0.54",0.413223140495868,99.6692189892803,0.33078101071975,5.26315789473684,0.766283524904215,0.506585612968592,95.4430825171544,3,723,54,16271,1,8
