"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0.53",43.4429557450264,91.5771484375,8.4228515625,75.6183745583039,55.1830840639505,47.4838022543712,73.5020582405855,2140,2786,690,7502,2,8,9,2880
"long_cut =  9 ; prob =  0.54",42.0219244823386,91.9921875,8.0078125,75.9354365370506,54.1035023523262,46.1435577351761,73.2276261625248,2070,2856,656,7536,2,8,9,2880
"long_cut =  9 ; prob =  0.55",41.1490052781161,92.32177734375,7.67822265625,76.3177710843374,53.4687417567924,45.3264758497317,73.1056563500534,2027,2899,629,7563,2,8,9,2880
"long_cut =  9 ; prob =  0.56",40.113682501015,92.66357421875,7.33642578125,76.6783081102057,52.6722644275623,44.3427135227324,72.9303247446257,1976,2950,601,7591,2,8,9,2880
"long_cut =  9 ; prob =  0.57",39.0783597239139,93.02978515625,6.97021484375,77.1233974358974,51.8728105631905,43.3558558558558,72.770239365757,1925,3001,571,7621,2,8,9,2880
"long_cut =  9 ; prob =  0.58",38.1242387332521,93.310546875,6.689453125,77.4113767518549,51.0881392818281,42.4310890194306,72.5872846470499,1878,3048,548,7644,2,8,9,2880
"long_cut =  9 ; prob =  0.59",37.0280146163216,93.64013671875,6.35986328125,77.7825159914712,50.1719158300096,41.362420064402,72.3814605885043,1824,3102,521,7671,2,8,9,2880
"long_cut =  9 ; prob =  0.6",36.1347949654892,93.8720703125,6.1279296875,78.0017528483786,49.3895671476138,40.4803056490494,72.1908827565178,1780,3146,502,7690,2,8,9,2880
"long_cut =  9 ; prob =  0.61",34.9370686155095,94.189453125,5.810546875,78.3340919435594,48.3223360943423,39.2904433587507,71.9393200182955,1721,3205,476,7716,2,8,9,2880
"long_cut =  9 ; prob =  0.62",33.9220462850183,94.49462890625,5.50537109375,78.746465598492,47.4177071509648,38.2800329881792,71.7487421863089,1671,3255,451,7741,2,8,9,2880
"long_cut =  9 ; prob =  0.63",32.8258221680877,94.775390625,5.224609375,79.0709046454768,46.3921962415722,37.1741229481815,71.5124256746455,1617,3309,428,7764,2,8,9,2880
"long_cut =  9 ; prob =  0.64",31.8514007308161,95.05615234375,4.94384765625,79.483282674772,45.4782608695652,36.1887628009964,71.3218478426589,1569,3357,405,7787,2,8,9,2880
"long_cut =  9 ; prob =  0.65",30.5521721477872,95.30029296875,4.69970703125,79.6296296296296,44.1607981220657,34.8476428637584,70.9864308583626,1505,3421,385,7807,2,8,9,2880
"long_cut =  9 ; prob =  0.66",29.5777507105156,95.4345703125,4.5654296875,79.5740032768979,43.1256474766908,33.8286510332018,70.7043756670224,1457,3469,374,7818,2,8,9,2880
"long_cut =  9 ; prob =  0.67",28.6642306130735,95.71533203125,4.28466796875,80.0907543959161,42.2185677978771,32.8876880793777,70.5366671748742,1412,3514,351,7841,2,8,9,2880
"long_cut =  9 ; prob =  0.68",28.0146163215591,95.86181640625,4.13818359375,80.2792321116928,41.5349887133183,32.2083741772861,70.3842049092849,1380,3546,339,7853,2,8,9,2880
"long_cut =  9 ; prob =  0.69",27.1213966707268,96.10595703125,3.89404296875,80.7250755287009,40.601732259535,31.2748724191207,70.2012501905778,1336,3590,319,7873,2,8,9,2880
"long_cut =  9 ; prob =  0.7",26.390580592773,96.2646484375,3.7353515625,80.9464508094645,39.8040416411513,30.5021116846551,70.0259185851502,1300,3626,306,7886,2,8,9,2880
"long_cut =  9 ; prob =  0.71",25.4567600487211,96.39892578125,3.60107421875,80.9554551323434,38.7335907335907,29.5017174046017,69.759109620369,1254,3672,295,7897,2,8,9,2880
"long_cut =  9 ; prob =  0.72",24.3808363784003,96.5087890625,3.4912109375,80.7666442501681,37.4551691875877,28.3375017696192,69.4236926360726,1201,3725,286,7906,2,8,9,2880
"long_cut =  9 ; prob =  0.73",23.3049127080796,96.71630859375,3.28369140625,81.0162314749471,36.1973829418256,27.1767435254013,69.1492605580119,1148,3778,269,7923,2,8,9,2880
"long_cut =  9 ; prob =  0.74",22.3507917174178,96.88720703125,3.11279296875,81.1946902654867,35.0525310410697,26.1396011396011,68.8976978197896,1101,3825,255,7937,2,8,9,2880
"long_cut =  9 ; prob =  0.75",21.2342671538774,97.03369140625,2.96630859375,81.1481768813033,33.6604987932421,24.913066260182,68.5699039487727,1046,3880,243,7949,2,8,9,2880
"long_cut =  9 ; prob =  0.76",20.1786439301665,97.265625,2.734375,81.6091954022989,32.3567708333333,23.7548991492209,68.3183412105504,994,3932,224,7968,2,8,9,2880
"long_cut =  9 ; prob =  0.77",19.1636215996752,97.39990234375,2.60009765625,81.590319792567,31.0373171132665,22.6259527347682,68.0210397926513,944,3982,213,7979,2,8,9,2880
"long_cut =  9 ; prob =  0.78",18.3516037352822,97.54638671875,2.45361328125,81.8099547511312,29.9784447023711,21.721370560815,67.8075926208263,904,4022,201,7991,2,8,9,2880
"long_cut =  9 ; prob =  0.79",17.559886317499,97.65625,2.34375,81.8353831598865,28.9152599030587,20.8323298492366,67.5788992224424,865,4061,192,8000,2,8,9,2880
"long_cut =  9 ; prob =  0.8",16.5042630937881,97.74169921875,2.25830078125,81.4629258517034,27.4476704929102,19.6357839822239,67.2358591248666,813,4113,185,8007,2,8,9,2880
"long_cut =  9 ; prob =  0.81",15.6719447827852,97.94921875,2.05078125,82.1276595744681,26.3211728605523,18.6979267583802,67.0529044061595,772,4154,168,8024,2,8,9,2880
"long_cut =  9 ; prob =  0.82",14.6772228989038,98.046875,1.953125,81.8799546998868,24.8924083318988,17.5596250060718,66.7403567617015,723,4203,160,8032,2,8,9,2880
"long_cut =  9 ; prob =  0.83",13.5606983353634,98.1689453125,1.8310546875,81.6625916870416,23.2590529247911,16.2752168404639,66.3973166641256,668,4258,150,8042,2,8,9,2880
"long_cut =  9 ; prob =  0.84",12.6877791311409,98.25439453125,1.74560546875,81.3802083333333,21.952932911837,15.2647518561938,66.1228845860649,625,4301,143,8049,2,8,9,2880
"long_cut =  9 ; prob =  0.85",11.8757612667479,98.3154296875,1.6845703125,80.9128630705394,20.7116303770579,14.3192833015127,65.8560756212837,585,4341,138,8054,2,8,9,2880
"long_cut =  9 ; prob =  0.86",10.9419407226959,98.4130859375,1.5869140625,80.5680119581465,19.2672028596962,13.2282923477151,65.5663973166641,539,4387,130,8062,2,8,9,2880
"long_cut =  9 ; prob =  0.87",9.96751928542428,98.42529296875,1.57470703125,79.1935483870968,17.7064551027768,12.0793150954537,65.2081109925293,491,4435,129,8063,2,8,9,2880
"long_cut =  9 ; prob =  0.88",9.33820544051969,98.583984375,1.416015625,79.8611111111111,16.7211922937114,11.3412228796844,65.070894953499,460,4466,116,8076,2,8,9,2880
"long_cut =  9 ; prob =  0.89",8.74949248883476,98.69384765625,1.30615234375,80.1115241635688,15.7759882869693,10.6461812073906,64.9184326879097,431,4495,107,8085,2,8,9,2880
"long_cut =  9 ; prob =  0.9",8.20138043036947,98.876953125,1.123046875,81.4516129032258,14.9022500922169,10,64.8269553285562,404,4522,92,8100,2,8,9,2880
"long_cut =  9 ; prob =  0.91",7.67356881851401,99.03564453125,0.96435546875,82.7133479212254,14.0442132639792,9.3745349933039,64.7278548559232,378,4548,79,8113,2,8,9,2880
"long_cut =  9 ; prob =  0.92",7.06455542021924,99.12109375,0.87890625,82.8571428571429,13.0190796857464,8.6463923673226,64.5525232504955,348,4578,72,8120,2,8,9,2880
"long_cut =  9 ; prob =  0.93",6.19163621599675,99.21875,0.78125,82.6558265582656,11.5203021718602,7.59726996462911,64.2857142857143,305,4621,64,8128,2,8,9,2880
"long_cut =  9 ; prob =  0.94",5.48112058465286,99.32861328125,0.67138671875,83.0769230769231,10.2837554751476,6.74022667132658,64.0875133404482,270,4656,55,8137,2,8,9,2880
"long_cut =  9 ; prob =  0.95",4.83150629313845,99.40185546875,0.59814453125,82.9268292682927,9.13101860732783,5.95267870541744,63.8893123951822,238,4688,49,8143,2,8,9,2880
"long_cut =  9 ; prob =  0.96",4.14129110840438,99.5361328125,0.4638671875,84.297520661157,7.89473684210526,5.11380727965507,63.7139807897545,204,4722,38,8154,2,8,9,2880
"long_cut =  9 ; prob =  0.97",3.22777101096224,99.62158203125,0.37841796875,83.6842105263158,6.2157935887412,3.99617975268925,63.4243024851349,159,4767,31,8161,2,8,9,2880
"long_cut =  9 ; prob =  0.98",2.25334957369062,99.70703125,0.29296875,82.2222222222222,4.3864848844102,2.79752003629215,63.1117548406769,111,4815,24,8168,2,8,9,2880
"long_cut =  9 ; prob =  0.99",1.23832724319935,99.86572265625,0.13427734375,84.7222222222222,2.44097639055622,1.54227346278317,62.8296996493368,61,4865,11,8181,2,8,9,2880
"long_cut =  9 ; prob =  1",0,100,0,NA,NA,NA,62.4485439853636,0,4926,0,8192,2,8,9,2880
"long_cut =  9 ; prob =  random_rate",36.3389626055489,0.636455649613544,36.3544350386456,37.887124665933,37.0968983298699,197.528048891727,53.2971428571429,2410,4222,3951,6917,2,8,9,2880
"long_cut =  9 ; prob =  random_50",50.9951749095296,0.491258741258741,50.8741258741259,37.953091684435,43.5179823714856,219.292305087615,49.8342857142857,3382,3250,5529,5339,2,8,9,2880
