"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0.36",2.35756385068762,99.7779363946388,0.222063605361245,30,4.37158469945355,2.89017341040462,95.9978655282817,12,497,28,12581,2,8,9,2880
"long_cut =  9 ; prob =  0.37",2.35756385068762,99.7779363946388,0.222063605361245,30,4.37158469945355,2.89017341040462,95.9978655282817,12,497,28,12581,2,8,9,2880
"long_cut =  9 ; prob =  0.38",2.35756385068762,99.7858672376874,0.214132762312635,30.7692307692308,4.37956204379562,2.89156626506024,96.0054886415612,12,497,27,12582,2,8,9,2880
"long_cut =  9 ; prob =  0.39",1.96463654223969,99.8017289237846,0.198271076215406,28.5714285714286,3.67647058823529,2.41429261226461,96.0054886415612,10,499,25,12584,2,8,9,2880
"long_cut =  9 ; prob =  0.4",1.76817288801572,99.8017289237846,0.198271076215406,26.4705882352941,3.31491712707182,2.17391304347826,95.9978655282817,9,500,25,12584,2,8,9,2880
"long_cut =  9 ; prob =  0.41",1.57170923379175,99.8175906098818,0.182409390118166,25.8064516129032,2.96296296296296,1.9351717464925,96.0054886415612,8,501,23,12586,2,8,9,2880
"long_cut =  9 ; prob =  0.42",1.17878192534381,99.8413831390277,0.158616860972316,23.0769230769231,2.24299065420561,1.454898157129,96.0131117548407,6,503,20,12589,2,8,9,2880
"long_cut =  9 ; prob =  0.43",1.17878192534381,99.8572448251249,0.142755174875087,25,2.25140712945591,1.45631067961165,96.0283579813996,6,503,18,12591,2,8,9,2880
"long_cut =  9 ; prob =  0.44",1.17878192534381,99.8651756681735,0.134824331826477,26.0869565217391,2.25563909774436,1.4570179698883,96.0359810946791,6,503,17,12592,2,8,9,2880
"long_cut =  9 ; prob =  0.45",1.17878192534381,99.8731065112221,0.126893488777857,27.2727272727273,2.25988700564972,1.45772594752187,96.0436042079585,6,503,16,12593,2,8,9,2880
"long_cut =  9 ; prob =  0.46",1.17878192534381,99.8889681973194,0.111031802680628,30,2.26843100189036,1.4591439688716,96.0588504345175,6,503,14,12595,2,8,9,2880
"long_cut =  9 ; prob =  0.47",1.17878192534381,99.896899040368,0.103100959632008,31.5789473684211,2.27272727272727,1.45985401459854,96.0664735477969,6,503,13,12596,2,8,9,2880
"long_cut =  9 ; prob =  0.48",1.17878192534381,99.9127607264652,0.0872392735347782,35.2941176470588,2.28136882129278,1.46127618119825,96.0817197743558,6,503,11,12598,2,8,9,2880
"long_cut =  9 ; prob =  0.49",1.17878192534381,99.9127607264652,0.0872392735347782,35.2941176470588,2.28136882129278,1.46127618119825,96.0817197743558,6,503,11,12598,2,8,9,2880
"long_cut =  9 ; prob =  0.5",1.17878192534381,99.9127607264652,0.0872392735347782,35.2941176470588,2.28136882129278,1.46127618119825,96.0817197743558,6,503,11,12598,2,8,9,2880
"long_cut =  9 ; prob =  0.51",1.17878192534381,99.9127607264652,0.0872392735347782,35.2941176470588,2.28136882129278,1.46127618119825,96.0817197743558,6,503,11,12598,2,8,9,2880
"long_cut =  9 ; prob =  0.52",1.17878192534381,99.9127607264652,0.0872392735347782,35.2941176470588,2.28136882129278,1.46127618119825,96.0817197743558,6,503,11,12598,2,8,9,2880
"long_cut =  9 ; prob =  0.53",1.17878192534381,99.9127607264652,0.0872392735347782,35.2941176470588,2.28136882129278,1.46127618119825,96.0817197743558,6,503,11,12598,2,8,9,2880
"long_cut =  9 ; prob =  0.54",1.17878192534381,99.9127607264652,0.0872392735347782,35.2941176470588,2.28136882129278,1.46127618119825,96.0817197743558,6,503,11,12598,2,8,9,2880
"long_cut =  9 ; prob =  0.55",1.17878192534381,99.9206915695138,0.079308430486158,37.5,2.28571428571429,1.46198830409357,96.0893428876353,6,503,10,12599,2,8,9,2880
"long_cut =  9 ; prob =  0.56",1.17878192534381,99.9286224125624,0.0713775874375489,40,2.29007633587786,1.46270112140419,96.0969660009148,6,503,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.57",0.589390962671906,99.9286224125624,0.0713775874375489,25,1.15163147792706,0.732421875,96.0740966610764,3,506,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.58",0.589390962671906,99.9286224125624,0.0713775874375489,25,1.15163147792706,0.732421875,96.0740966610764,3,506,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.59",0.589390962671906,99.9286224125624,0.0713775874375489,25,1.15163147792706,0.732421875,96.0740966610764,3,506,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.6",0.196463654223969,99.9286224125624,0.0713775874375489,10,0.385356454720617,0.244379276637341,96.0588504345175,1,508,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.61",0.196463654223969,99.9286224125624,0.0713775874375489,10,0.385356454720617,0.244379276637341,96.0588504345175,1,508,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.62",0.196463654223969,99.9286224125624,0.0713775874375489,10,0.385356454720617,0.244379276637341,96.0588504345175,1,508,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.63",0.196463654223969,99.9286224125624,0.0713775874375489,10,0.385356454720617,0.244379276637341,96.0588504345175,1,508,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.64",0.196463654223969,99.9286224125624,0.0713775874375489,10,0.385356454720617,0.244379276637341,96.0588504345175,1,508,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.65",0.196463654223969,99.9286224125624,0.0713775874375489,10,0.385356454720617,0.244379276637341,96.0588504345175,1,508,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.66",0.196463654223969,99.9286224125624,0.0713775874375489,10,0.385356454720617,0.244379276637341,96.0588504345175,1,508,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.67",0.196463654223969,99.9286224125624,0.0713775874375489,10,0.385356454720617,0.244379276637341,96.0588504345175,1,508,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.68",0.196463654223969,99.9286224125624,0.0713775874375489,10,0.385356454720617,0.244379276637341,96.0588504345175,1,508,9,12600,2,8,9,2880
"long_cut =  9 ; prob =  0.69",0.196463654223969,99.9444840986597,0.0555159013403084,12.5,0.386847195357834,0.244618395303327,96.0740966610764,1,508,7,12602,2,8,9,2880
"long_cut =  9 ; prob =  0.7",0.196463654223969,99.9444840986597,0.0555159013403084,12.5,0.386847195357834,0.244618395303327,96.0740966610764,1,508,7,12602,2,8,9,2880
"long_cut =  9 ; prob =  0.71",0.196463654223969,99.9603457847569,0.039654215243079,16.6666666666667,0.388349514563107,0.244857982370225,96.0893428876353,1,508,5,12604,2,8,9,2880
"long_cut =  9 ; prob =  0.72",0.196463654223969,99.9603457847569,0.039654215243079,16.6666666666667,0.388349514563107,0.244857982370225,96.0893428876353,1,508,5,12604,2,8,9,2880
"long_cut =  9 ; prob =  0.73",0.196463654223969,99.9603457847569,0.039654215243079,16.6666666666667,0.388349514563107,0.244857982370225,96.0893428876353,1,508,5,12604,2,8,9,2880
"long_cut =  9 ; prob =  0.74",0.196463654223969,99.9603457847569,0.039654215243079,16.6666666666667,0.388349514563107,0.244857982370225,96.0893428876353,1,508,5,12604,2,8,9,2880
"long_cut =  9 ; prob =  0.75",0.196463654223969,99.9762074708541,0.0237925291458496,25,0.389863547758285,0.245098039215686,96.1045891141942,1,508,3,12606,2,8,9,2880
"long_cut =  9 ; prob =  0.76",0.196463654223969,99.9762074708541,0.0237925291458496,25,0.389863547758285,0.245098039215686,96.1045891141942,1,508,3,12606,2,8,9,2880
"long_cut =  9 ; prob =  0.77",0.196463654223969,99.9762074708541,0.0237925291458496,25,0.389863547758285,0.245098039215686,96.1045891141942,1,508,3,12606,2,8,9,2880
"long_cut =  9 ; prob =  0.78",0.196463654223969,99.9762074708541,0.0237925291458496,25,0.389863547758285,0.245098039215686,96.1045891141942,1,508,3,12606,2,8,9,2880
"long_cut =  9 ; prob =  0.79",0.196463654223969,99.9762074708541,0.0237925291458496,25,0.389863547758285,0.245098039215686,96.1045891141942,1,508,3,12606,2,8,9,2880
"long_cut =  9 ; prob =  0.8",0.196463654223969,99.9762074708541,0.0237925291458496,25,0.389863547758285,0.245098039215686,96.1045891141942,1,508,3,12606,2,8,9,2880
"long_cut =  9 ; prob =  0.81",0.196463654223969,99.9841383139028,0.0158616860972294,33.3333333333333,0.390625,0.245218244237371,96.1122122274737,1,508,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.82",0.196463654223969,99.9841383139028,0.0158616860972294,33.3333333333333,0.390625,0.245218244237371,96.1122122274737,1,508,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.83",0.196463654223969,99.9841383139028,0.0158616860972294,33.3333333333333,0.390625,0.245218244237371,96.1122122274737,1,508,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.84",0.196463654223969,99.9841383139028,0.0158616860972294,33.3333333333333,0.390625,0.245218244237371,96.1122122274737,1,508,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.85",0.196463654223969,99.9841383139028,0.0158616860972294,33.3333333333333,0.390625,0.245218244237371,96.1122122274737,1,508,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.86",0.196463654223969,99.9841383139028,0.0158616860972294,33.3333333333333,0.390625,0.245218244237371,96.1122122274737,1,508,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.87",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.88",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.89",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.9",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.91",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.92",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.93",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.94",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.95",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.96",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.97",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.98",0,99.9841383139028,0.0158616860972294,0,NA,NA,96.1045891141942,0,509,2,12607,2,8,9,2880
"long_cut =  9 ; prob =  0.99",0,99.9920691569514,0.00793084304862024,0,NA,NA,96.1122122274737,0,509,1,12608,2,8,9,2880
"long_cut =  9 ; prob =  1",0,100,0,NA,NA,NA,96.1198353407532,0,509,0,12609,2,8,9,2880
"long_cut =  9 ; prob =  random_rate",1.50273224043716,0.9765625,2.34375,2.72277227722772,1.93661971830986,170.46818727491,93.6342857142857,11,721,393,16375,2,8,9,2880
"long_cut =  9 ; prob =  random_50",49.5901639344262,0.490219465648855,50.9780534351145,4.07361687801594,7.52877735144665,407.25568037841,49.0457142857143,363,369,8548,8220,2,8,9,2880
