"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0.35",5.39419087136929,98.3812221772562,1.61877782274383,11.5044247787611,7.34463276836158,6.03528319405757,94.889771753525,26,456,200,12155,2,8,9,2880
"long_cut =  9 ; prob =  0.36",4.77178423236515,98.4621610683934,1.53783893160664,10.7981220657277,6.61870503597122,5.37132181223727,94.9443016281063,23,459,190,12165,2,8,9,2880
"long_cut =  9 ; prob =  0.37",4.5643153526971,98.5511938486443,1.44880615135573,10.9452736318408,6.44216691068814,5.16674495068107,95.0222014489367,22,460,179,12176,2,8,9,2880
"long_cut =  9 ; prob =  0.38",4.35684647302905,98.6483205180089,1.3516794819911,11.1702127659574,6.26865671641791,4.96219281663516,95.1078912518501,21,461,167,12188,2,8,9,2880
"long_cut =  9 ; prob =  0.39",3.94190871369295,98.7373532982598,1.26264670174019,10.8571428571429,5.78386605783866,4.51735615786971,95.1780010905975,19,463,156,12199,2,8,9,2880
"long_cut =  9 ; prob =  0.4",3.3195020746888,98.8101983002833,1.18980169971672,9.8159509202454,4.96124031007752,3.8259206121473,95.2247409830957,16,466,147,12208,2,8,9,2880
"long_cut =  9 ; prob =  0.41",2.9045643153527,98.9073249696479,1.09267503035209,9.39597315436242,4.43740095087163,3.37024554646124,95.3026408039262,14,468,135,12220,2,8,9,2880
"long_cut =  9 ; prob =  0.42",2.9045643153527,98.9720760825577,1.02792391744233,9.9290780141844,4.49438202247191,3.38327694538424,95.3649606605905,14,468,127,12228,2,8,9,2880
"long_cut =  9 ; prob =  0.43",2.9045643153527,98.9882638607851,1.01173613921489,10.0719424460432,4.50885668276973,3.38655055636188,95.3805406247566,14,468,125,12230,2,8,9,2880
"long_cut =  9 ; prob =  0.44",2.9045643153527,99.0530149736949,0.946985026305136,10.6870229007634,4.56769983686786,3.39970859640602,95.4428604814209,14,468,117,12238,2,8,9,2880
"long_cut =  9 ; prob =  0.45",2.9045643153527,99.0692027519223,0.930797248077697,10.8527131782946,4.58265139116203,3.40301409820126,95.458440445587,14,468,115,12240,2,8,9,2880
"long_cut =  9 ; prob =  0.46",2.9045643153527,99.1177660866046,0.882233913395392,11.3821138211382,4.62809917355372,3.41296928327645,95.5051803380852,14,468,109,12246,2,8,9,2880
"long_cut =  9 ; prob =  0.47",2.9045643153527,99.1501416430595,0.849858356940514,11.7647058823529,4.65890183028286,3.41963849535906,95.5363402664174,14,468,105,12250,2,8,9,2880
"long_cut =  9 ; prob =  0.48",2.69709543568465,99.1906110886281,0.809388911371911,11.5044247787611,4.36974789915966,3.18471337579618,95.5675001947496,13,469,100,12255,2,8,9,2880
"long_cut =  9 ; prob =  0.49",2.69709543568465,99.222986645083,0.777013354917033,11.9266055045872,4.39932318104907,3.19096710849288,95.5986601230817,13,469,96,12259,2,8,9,2880
"long_cut =  9 ; prob =  0.5",2.69709543568465,99.2472683124241,0.75273168757588,12.2641509433962,4.42176870748299,3.19567354965585,95.6220300693308,13,469,93,12262,2,8,9,2880
"long_cut =  9 ; prob =  0.51",2.69709543568465,99.279643868879,0.720356131121003,12.7450980392157,4.45205479452055,3.20197044334975,95.653189997663,13,469,89,12266,2,8,9,2880
"long_cut =  9 ; prob =  0.52",2.4896265560166,99.3039255362201,0.69607446377985,12.2448979591837,4.13793103448276,2.96150049358342,95.6687699618291,12,470,86,12269,2,8,9,2880
