"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0.75",59.2754255783501,74.8516050878256,25.1483949121744,56.677796327212,57.9475144015362,58.7370242214533,69.2918906286516,2716,1866,2076,6179,2,8,9,2880
"long_cut =  9 ; prob =  0.76",57.6604103011785,76.0266505148395,23.9733494851605,57.1737719108418,57.4160599804412,57.5624210205238,69.4710602165615,2642,1940,1979,6276,2,8,9,2880
"long_cut =  9 ; prob =  0.77",56.5255347010039,77.419745608722,22.580254391278,58.1499775482712,57.3262505533422,56.8431217627952,69.9618290877931,2590,1992,1864,6391,2,8,9,2880
"long_cut =  9 ; prob =  0.78",54.8450458315146,78.8370684433677,21.1629315566323,58.9906103286385,56.8423433612305,55.6268815300159,70.2734283711147,2513,2069,1747,6508,2,8,9,2880
"long_cut =  9 ; prob =  0.79",53.6883457005674,79.6850393700787,20.3149606299213,59.4633792603336,56.4284895056773,54.7518361896283,70.4058580665264,2460,2122,1677,6578,2,8,9,2880
"long_cut =  9 ; prob =  0.8",52.0515058926233,80.969109630527,19.030890369473,60.2881698685541,55.8678847505271,53.513731825525,70.6473475111007,2385,2197,1571,6684,2,8,9,2880
"long_cut =  9 ; prob =  0.81",50.4801396769969,82.1078134463961,17.8921865536039,61.0290237467019,55.2556139512661,52.2877294511258,70.8187271169276,2313,2269,1477,6778,2,8,9,2880
"long_cut =  9 ; prob =  0.82",48.5814054997818,83.2465172622653,16.7534827377347,61.6791354945968,54.3523379318764,50.7361991156493,70.8732569915089,2226,2356,1383,6872,2,8,9,2880
"long_cut =  9 ; prob =  0.83",47.1409864687909,84.1792852816475,15.8207147183525,62.3196768609348,53.6779324055666,49.5549233734055,70.9589467944224,2160,2422,1306,6949,2,8,9,2880
"long_cut =  9 ; prob =  0.84",45.6569183762549,85.0999394306481,14.9000605693519,62.9741119807345,52.9352226720648,48.3140877598153,71.0212666510867,2092,2490,1230,7025,2,8,9,2880
"long_cut =  9 ; prob =  0.85",43.5617634220864,86.0327074500303,13.9672925499697,63.3852016513179,51.6362695640926,46.4683149415654,70.8732569915089,1996,2586,1153,7102,2,8,9,2880
"long_cut =  9 ; prob =  0.86",42.2522915757311,86.8443367655966,13.1556632344034,64.0635340833885,50.920568122041,45.3395784543326,70.9277868660902,1936,2646,1086,7169,2,8,9,2880
"long_cut =  9 ; prob =  0.87",40.7245744216499,87.6075105996366,12.3924894003634,64.5898234683281,49.9531521884621,43.9741716548051,70.8732569915089,1866,2716,1023,7232,2,8,9,2880
"long_cut =  9 ; prob =  0.88",38.6075949367089,88.5402786190188,11.4597213809812,65.1565377532228,48.4856790461834,42.0329800883904,70.7174573498481,1769,2813,946,7309,2,8,9,2880
"long_cut =  9 ; prob =  0.89",36.3814927979048,89.4367050272562,10.5632949727438,65.6557699881843,46.8192669568881,39.9434513825658,70.4993378515229,1667,2915,872,7383,2,8,9,2880
"long_cut =  9 ; prob =  0.9",34.0680925360105,90.3089036947305,9.69109630526953,66.1160525201186,44.9661529598156,37.7253613031079,70.2344784606995,1561,3021,800,7455,2,8,9,2880
"long_cut =  9 ; prob =  0.91",31.9292885202968,91.1205330102968,8.87946698970321,66.6211293260474,43.1690764237238,35.6412005457026,69.9929890161253,1463,3119,733,7522,2,8,9,2880
"long_cut =  9 ; prob =  0.92",29.8341335661283,92.198667474258,7.80133252574198,67.9761312779712,41.4682238738056,33.6053886621761,69.938459141544,1367,3215,644,7611,2,8,9,2880
"long_cut =  9 ; prob =  0.93",27.1715408118725,92.9981829194428,7.00181708055724,68.2940208447614,38.8758782201405,30.8917671579574,69.5022201448937,1245,3337,578,7677,2,8,9,2880
"long_cut =  9 ; prob =  0.94",24.5089480576168,93.8461538461538,6.15384615384615,68.8534641324341,36.150008047642,28.132671977554,69.0971410765755,1123,3459,508,7747,2,8,9,2880
"long_cut =  9 ; prob =  0.95",21.6062854648625,94.6820109024834,5.31798909751665,69.2792162351295,32.9396107136916,25.0544110948018,68.5985822232609,990,3592,439,7816,2,8,9,2880
"long_cut =  9 ; prob =  0.96",18.9218681798341,95.4572986069049,4.54270139309509,69.8067632850241,29.7733516483517,22.1512519161983,68.1389732803615,867,3715,375,7880,2,8,9,2880
"long_cut =  9 ; prob =  0.97",15.9537319947621,96.305269533616,3.69473046638401,70.5598455598456,26.0234959060164,18.8752323900021,67.6248344628807,731,3851,305,7950,2,8,9,2880
"long_cut =  9 ; prob =  0.98",11.5015277171541,97.1290127195639,2.8709872804361,68.979057591623,19.7156752712308,13.8015922899644,66.5653968995871,527,4055,237,8018,2,8,9,2880
"long_cut =  9 ; prob =  0.99",6.9620253164557,98.0254391278013,1.97456087219867,66.1825726141079,12.5987361769352,8.47953216374269,65.5215393004596,319,4263,163,8092,2,8,9,2880
"long_cut =  9 ; prob =  1",0,100,0,NA,NA,NA,64.3063020955052,0,4582,0,8255,2,8,9,2880
"long_cut =  9 ; prob =  random_rate",35.2367109634551,0.656571494624899,34.3428505375101,36.3538988860326,35.7865879375791,198.144743439746,54.7783470706171,1697,3119,2971,5680,2,8,9,2880
"long_cut =  9 ; prob =  random_50",50.4360465116279,0.50306322968443,49.6936770315571,36.102853745541,42.0824670824671,222.068328716528,50.3527140417316,2429,2387,4299,4352,2,8,9,2880
