"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.32622152259698,0.0700636182059686,-61.7470469463771,0
"early_total_time_ms",1.18980693031365e-08,8.86327379028061e-09,1.34240119223032,0.179465948371918
"first_day_total_time_ms",2.72887279576673e-08,2.17872725513739e-08,1.25250776081867,0.210384902171865
"early_number_of_events",0.00163022024239514,0.000362885516542167,4.49238166882228,7.04310537455865e-06
"first_day_number_of_events",0.00152896986207364,0.000848153038306529,1.80270516406623,0.0714345307471639
