"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  4 ; prob =  0",100,0,100,54.9083619702176,70.8914112470884,85.8927035550459,54.9083619702176,9587,0,7873,0,3,4
"long_cut =  4 ; prob =  0.01",100,0,100,54.9083619702176,70.8914112470884,85.8927035550459,54.9083619702176,9587,0,7873,0,3,4
"long_cut =  4 ; prob =  0.02",100,0,100,54.9083619702176,70.8914112470884,85.8927035550459,54.9083619702176,9587,0,7873,0,3,4
"long_cut =  4 ; prob =  0.03",100,0,100,54.9083619702176,70.8914112470884,85.8927035550459,54.9083619702176,9587,0,7873,0,3,4
"long_cut =  4 ; prob =  0.04",99.9895692083029,0,100,54.9057792542528,70.8866375804186,85.8852832081997,54.9026345933562,9586,1,7873,0,3,4
"long_cut =  4 ; prob =  0.05",99.9895692083029,0,100,54.9057792542528,70.8866375804186,85.8852832081997,54.9026345933562,9586,1,7873,0,3,4
"long_cut =  4 ; prob =  0.06",99.9895692083029,0,100,54.9057792542528,70.8866375804186,85.8852832081997,54.9026345933562,9586,1,7873,0,3,4
"long_cut =  4 ; prob =  0.07",99.9895692083029,0,100,54.9057792542528,70.8866375804186,85.8852832081997,54.9026345933562,9586,1,7873,0,3,4
"long_cut =  4 ; prob =  0.08",99.9895692083029,0,100,54.9057792542528,70.8866375804186,85.8852832081997,54.9026345933562,9586,1,7873,0,3,4
"long_cut =  4 ; prob =  0.09",99.9895692083029,0.0254032770227359,99.9745967229773,54.9120696568712,70.8918798994232,85.8883612579518,54.914089347079,9586,1,7871,2,3,4
"long_cut =  4 ; prob =  0.1",99.9895692083029,0.0254032770227359,99.9745967229773,54.9120696568712,70.8918798994232,85.8883612579518,54.914089347079,9586,1,7871,2,3,4
"long_cut =  4 ; prob =  0.11",99.9895692083029,0.0254032770227359,99.9745967229773,54.9120696568712,70.8918798994232,85.8883612579518,54.914089347079,9586,1,7871,2,3,4
"long_cut =  4 ; prob =  0.12",99.9582768332116,0.0254032770227359,99.9745967229773,54.9043199266644,70.8775563033912,85.8660979893194,54.8969072164949,9583,4,7871,2,3,4
"long_cut =  4 ; prob =  0.13",99.9374152498175,0.0254032770227359,99.9745967229773,54.8991519596608,70.8680054735752,85.8512544802867,54.8854524627721,9581,6,7871,2,3,4
"long_cut =  4 ; prob =  0.14",99.9269844581204,0.0254032770227359,99.9745967229773,54.8965675319466,70.8632295288113,85.8438323267442,54.8797250859107,9580,7,7871,2,3,4
"long_cut =  4 ; prob =  0.15",99.8956920830291,0.0381049155341039,99.9618950844659,54.8919585028945,70.8515203077606,85.823102428533,54.8682703321879,9577,10,7870,3,3,4
"long_cut =  4 ; prob =  0.16",99.885261291332,0.0381049155341039,99.9618950844659,54.8893729221598,70.8467428698258,85.8156791052801,54.8625429553265,9576,11,7870,3,3,4
"long_cut =  4 ; prob =  0.17",99.885261291332,0.0381049155341039,99.9618950844659,54.8893729221598,70.8467428698258,85.8156791052801,54.8625429553265,9576,11,7870,3,3,4
"long_cut =  4 ; prob =  0.18",99.8122457494524,0.139718023625048,99.8602819763749,54.8964488554873,70.8342586423866,85.7760088922354,54.8682703321879,9569,18,7862,11,3,4
"long_cut =  4 ; prob =  0.19",99.6140607072077,0.87641305728439,99.1235869427156,55.0305405093926,70.8956608886084,85.7240314530897,55.0916380297824,9550,37,7804,69,3,4
"long_cut =  4 ; prob =  0.2",99.541045165328,1.14314746602312,98.8568525339769,55.079071915041,70.9174005127634,85.7042784782843,55.1718213058419,9543,44,7783,90,3,4
"long_cut =  4 ; prob =  0.21",99.4575988317513,1.28286548964816,98.7171345103518,55.0933148437049,70.9080092213877,85.6616656185428,55.1890034364261,9535,52,7772,101,3,4
