"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  14 ; prob =  0.11",96.6210613598673,9.01070174005392,90.9892982599461,29.5018672067852,45.2019589778403,66.4054708647955,33.7767360093759,4661,163,11138,1103,3,10
"long_cut =  14 ; prob =  0.12",94.6102819237148,12.8829344007842,87.1170655992157,29.9711058576307,45.5216437263116,66.0989456609895,35.9859361265749,4564,260,10664,1577,3,10
"long_cut =  14 ; prob =  0.13",93.2421227197347,14.9987746099175,85.0012253900825,30.1818425820305,45.6024737669184,65.7621567882102,37.1169059478465,4498,326,10405,1836,3,10
"long_cut =  14 ; prob =  0.14",90.257048092869,24.3607548402908,75.6392451597092,31.9841328142217,47.2311113521723,66.1521164423106,42.9885731028421,4354,470,9259,2982,3,10
"long_cut =  14 ; prob =  0.15",87.6865671641791,30.6674291316069,69.3325708683931,33.2625619249823,48.2298614674192,66.0669103176835,46.7858189276296,4230,594,8487,3754,3,10
"long_cut =  14 ; prob =  0.16",84.9087893864013,44.0731966342619,55.9268033657381,37.4337415463352,51.9599137384245,67.7293471790462,55.616759449165,4096,728,6846,5395,3,10
"long_cut =  14 ; prob =  0.17",82.2968490878939,51.441875663753,48.558124336247,40.0443816824692,53.8743384448365,67.9561793906197,60.1640785232933,3970,854,5944,6297,3,10
"long_cut =  14 ; prob =  0.18",80.0787728026534,56.474144269259,43.525855730741,42.030246980742,55.126650017838,67.8028574437463,63.1467916788749,3863,961,5328,6913,3,10
"long_cut =  14 ; prob =  0.19",77.653399668325,60.4607466710236,39.5392533289764,43.6291637549499,55.868754660701,67.1759558137867,65.320832112511,3746,1078,4840,7401,3,10
"long_cut =  14 ; prob =  0.2",75.3731343283582,63.7284535577159,36.2715464422841,45.0222882615156,56.3720930232558,66.4182376150811,67.0202168180486,3636,1188,4440,7801,3,10
