"","1","2","3","4","5","6","7","8","9","10"
"4",77.9889391654098,77.7643504531722,77.5643980130076,77.663335895465,78.125,77.9411764705882,77.1872200656912,77.9433119991395,77.3106597386238,77.1850636027903
"5",75.130139169234,75.0830203059502,74.8389937799306,75.0042558020768,75.1404178836217,75.2927462512584,74.4285867582359,75.1970112661257,74.5245805122167,74.5119910764083
"6",73.0617608409987,73.1994459833795,72.8314043670207,73.2257483952247,73.4907820219303,73.3608223474069,72.3349959401462,73.6126560375726,73.0109781670162,72.2669466806674
"7",70.8286743694869,70.6952003958436,70.6402614881754,71.2894429294897,71.3311948676824,71.1811805598659,70.0173956262425,71.5815151104486,70.9837456753052,69.7234635062496
"8",68.9476825144221,68.6124530327429,68.6318357389713,69.7119620467638,69.5076944502472,69.3736730360934,68.1207373894254,70.0924684125079,68.9174931420131,67.7655924106842
"9",67.0763214859298,66.4165644614386,66.8947445042946,68.2148655325757,67.7990192594698,67.2978469738411,66.3362189332589,68.4500745156483,67.4034735180135,65.8377149353418
"10",65.4211427681769,64.9637819290888,65.1985667363392,66.5118369793228,65.8912994855737,65.616167326173,64.8133086876155,66.61534908783,65.4702303011631,63.9888983116182
"11",64.0949554896143,63.5661384088556,63.4674394817593,64.9514639728514,64.4409199048374,64.0869635758903,63.4039799385213,65.1248992747784,63.9057930925472,62.3984240334893
"12",62.7200524031769,61.8870367373361,61.9452149791956,63.6117309531399,62.6469540434628,62.7230667547918,62.1565877402855,63.2683924917712,62.2510041806705,60.8984175599796
"13",61.0093715071791,59.8482911446348,60.3344005691924,61.9718309859155,60.9713790112749,60.8703390584676,60.485166089088,61.7392807745505,60.475161987041,59.2270194986072
"14",59.8,58.3916083916084,58.8920760129078,60.7093505297098,59.7047767488769,59.5796814626331,58.9055420006971,60.6323737612081,58.9899713467049,57.7749797643673
"15",58.4179240969364,56.9657774184856,57.5444475472401,59.5494417862839,58.5026003336277,58.1784558483588,57.430905614462,59.6893856959145,57.7547428124389,56.3978394486869
"16",56.9053466843,55.6468741342691,56.0443915973048,58.2371565723624,57.0471161657189,56.8170647793178,55.980343980344,58.0420969023034,56.3640048642075,54.9143818667723
