"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  4 ; prob =  0",100,0,100,54.8867769564707,70.873418680403,85.8821369561227,54.8867769564707,9356,0,7690,0,3,5
"long_cut =  4 ; prob =  0.01",99.9679350149637,0,100,54.8788358857009,70.8587446494185,85.8593276662934,54.8691775196527,9353,3,7690,0,3,5
"long_cut =  4 ; prob =  0.02",99.9679350149637,0,100,54.8788358857009,70.8587446494185,85.8593276662934,54.8691775196527,9353,3,7690,0,3,5
"long_cut =  4 ; prob =  0.03",99.9679350149637,0,100,54.8788358857009,70.8587446494185,85.8593276662934,54.8691775196527,9353,3,7690,0,3,5
"long_cut =  4 ; prob =  0.04",99.9679350149637,0,100,54.8788358857009,70.8587446494185,85.8593276662934,54.8691775196527,9353,3,7690,0,3,5
"long_cut =  4 ; prob =  0.05",99.9679350149637,0,100,54.8788358857009,70.8587446494185,85.8593276662934,54.8691775196527,9353,3,7690,0,3,5
"long_cut =  4 ; prob =  0.06",99.9679350149637,0,100,54.8788358857009,70.8587446494185,85.8593276662934,54.8691775196527,9353,3,7690,0,3,5
"long_cut =  4 ; prob =  0.07",99.903805044891,0,100,54.862945354229,70.8293865797749,85.8137015478966,54.8339786460167,9347,9,7690,0,3,5
"long_cut =  4 ; prob =  0.08",99.8717400598546,0,100,54.8549958905718,70.8147025388405,85.7908847184987,54.8163792091986,9344,12,7690,0,3,5
"long_cut =  4 ; prob =  0.09",99.8610517315092,0,100,54.8523454470733,70.8098071166016,85.7832785500487,54.8105127302593,9343,13,7690,0,3,5
"long_cut =  4 ; prob =  0.1",99.8503634031637,0.0260078023407022,99.9739921976593,54.856136230182,70.8102781778216,85.7788224923789,54.8163792091986,9342,14,7688,2,3,5
"long_cut =  4 ; prob =  0.11",99.7434801197093,0.273081924577373,99.7269180754226,54.8908887712487,70.8123079257882,85.7326596233349,54.8691775196527,9332,24,7669,21,3,5
"long_cut =  4 ; prob =  0.12",99.7114151346729,0.377113133940182,99.6228868660598,54.9087698646263,70.8190996735747,85.7224243760797,54.8985099143494,9329,27,7661,29,3,5
"long_cut =  4 ; prob =  0.13",99.6472851646002,0.455136540962289,99.5448634590377,54.9122393685946,70.8058023847498,85.6861880077938,54.8985099143494,9323,33,7655,35,3,5
"long_cut =  4 ; prob =  0.14",99.6259085079094,0.520156046814044,99.4798439531859,54.9231041187909,70.8094351806131,85.6788307748874,54.9161093511674,9321,35,7650,40,3,5
"long_cut =  4 ; prob =  0.15",99.5617785378367,0.598179453836151,99.4018205461638,54.9265876525739,70.7961238837165,85.6425721273192,54.9161093511674,9315,41,7644,46,3,5
"long_cut =  4 ; prob =  0.16",99.4655835827277,0.975292587776333,99.0247074122237,54.9967496010874,70.8300034250485,85.6196522219155,55.0334389299542,9306,50,7615,75,3,5
"long_cut =  4 ; prob =  0.17",99.4228302693459,1.35240572171651,98.6475942782835,55.0805305542397,70.8885840573083,85.6348504934453,55.1801009034378,9302,54,7586,104,3,5
"long_cut =  4 ; prob =  0.18",99.1235570756734,2.86085825747724,97.1391417425228,55.3870043000478,71.0651340996169,85.6040466696204,55.6963510500997,9274,82,7470,220,3,5
"long_cut =  4 ; prob =  0.19",98.995297135528,3.22496749024707,96.7750325097529,55.4477969348659,71.0821181887951,85.5564587644103,55.7902147131292,9262,94,7442,248,3,5
"long_cut =  4 ; prob =  0.2",98.8777255237281,3.52405721716515,96.4759427828348,55.494901019796,71.0904480135249,85.5085591747698,55.8606124604013,9251,105,7419,271,3,5
"long_cut =  4 ; prob =  0.21",98.7922188969645,3.78413524057217,96.2158647594278,55.540199495253,71.1054696515116,85.478859172123,55.9310102076734,9243,113,7399,291,3,5
"long_cut =  4 ; prob =  0.22",98.6746472851646,4.52535760728219,95.4746423927178,55.7017014601183,71.2070960277671,85.48464757954,56.200868238883,9232,124,7342,348,3,5
"long_cut =  4 ; prob =  0.23",98.4608807182557,4.98049414824447,95.0195058517555,55.7660875355651,71.2038647342995,85.3864264130656,56.2888654229731,9212,144,7307,383,3,5
"long_cut =  4 ; prob =  0.24",98.2471141513467,6.34590377113134,93.6540962288687,56.0692936440161,71.3941747572815,85.3989371585715,56.7875161328171,9192,164,7202,488,3,5
"long_cut =  4 ; prob =  0.25",97.4775545104746,11.9895968790637,88.0104031209363,57.4018126888217,72.2547932181905,85.5342136854742,58.9111815088584,9120,236,6768,922,3,5
"long_cut =  4 ; prob =  0.26",96.889696451475,15.5786736020806,84.4213263979194,58.2695892524266,72.7732509131779,85.5495366263378,60.2076733544527,9065,291,6492,1198,3,5
"long_cut =  4 ; prob =  0.27",96.3766566908936,17.9583875162549,82.0416124837451,58.8346600548088,73.0653917834859,85.4691943127962,60.9996480112636,9017,339,6309,1381,3,5
"long_cut =  4 ; prob =  0.28",95.5322787516032,21.2483745123537,78.7516254876463,59.6105108710151,73.4127310061602,85.2569727956046,62.0204153467089,8938,418,6056,1634,3,5
"long_cut =  4 ; prob =  0.29",94.185549380077,27.0221066319896,72.9778933680104,61.0926234054354,74.1126997476871,84.9791698811912,63.8859556494192,8812,544,5612,2078,3,5
"long_cut =  4 ; prob =  0.3",92.5395468148782,31.0533159947984,68.9466840052016,62.0200573065903,74.2665980442615,84.2480149462868,64.8011263639564,8658,698,5302,2388,3,5
"long_cut =  4 ; prob =  0.31",91.8341171440787,32.8998699609883,67.1001300390117,62.478184991274,74.3638566730137,83.9455994997655,65.2469787633462,8592,764,5160,2530,3,5
"long_cut =  4 ; prob =  0.32",91.053869174861,34.8374512353706,65.1625487646294,62.9637841832964,74.4472603338286,83.5950072614515,65.6928311627361,8519,837,5011,2679,3,5
"long_cut =  4 ; prob =  0.33",90.2415562206071,36.553966189857,63.446033810143,63.3763699144273,74.4598289090749,83.1888227643558,66.0213539833392,8443,913,4879,2811,3,5
"long_cut =  4 ; prob =  0.34",89.5895681915348,38.5435630689207,61.4564369310793,63.9456820262435,74.6260683760684,82.9375445262408,66.5610700457585,8382,974,4726,2964,3,5
"long_cut =  4 ; prob =  0.35",88.8413852073536,40.2730819245774,59.7269180754226,64.4091437427354,74.6776874354252,82.5766456714817,66.930658218937,8312,1044,4593,3097,3,5
"long_cut =  4 ; prob =  0.36",88.1038905515177,41.7555266579974,58.2444733420026,64.7932714981921,74.6716188060513,82.1900051848602,67.1946497712073,8243,1113,4479,3211,3,5
"long_cut =  4 ; prob =  0.37",87.2808892689183,43.9011703511053,56.0988296488947,65.4326923076923,74.793918300055,81.8170888105162,67.7108999178693,8166,1190,4314,3376,3,5
"long_cut =  4 ; prob =  0.38",85.741769987174,50.0910273081925,49.9089726918075,67.6391231028668,75.6221719457014,81.3854394935476,69.6585709257304,8022,1334,3838,3852,3,5
"long_cut =  4 ; prob =  0.39",84.3629756306114,57.074122236671,42.925877763329,70.5109880293014,76.8175182481752,81.1736393928175,72.0520943329813,7893,1463,3301,4389,3,5
"long_cut =  4 ; prob =  0.4",82.5459598118854,63.5110533159948,36.4889466840052,73.3497958020705,77.6766406839326,80.5267657915042,73.958699988267,7723,1633,2806,4884,3,5
"long_cut =  4 ; prob =  0.41",81.4129970072681,66.3589076723017,33.6410923276983,74.6471971775774,77.8834355828221,79.9634668682288,74.6216121084125,7617,1739,2587,5103,3,5
"long_cut =  4 ; prob =  0.42",80.4403591278324,68.8946684005202,31.1053315994798,75.8822343214358,78.0948427934004,79.4854463267289,75.2317259181039,7526,1830,2392,5298,3,5
"long_cut =  4 ; prob =  0.43",79.3608379649423,71.0403120936281,28.9596879063719,76.9270617488603,78.125,78.8618404282437,75.6071805702218,7425,1931,2227,5463,3,5
"long_cut =  4 ; prob =  0.44",78.2385634886704,73.0169050715214,26.9830949284785,77.9137839276211,78.0758359554157,78.1733911446208,75.8829050803708,7320,2036,2075,5615,3,5
"long_cut =  4 ; prob =  0.45",77.009405728944,74.4733420026008,25.5266579973992,78.5885689354276,77.790973871734,77.3201407967033,75.8653056435527,7205,2151,1963,5727,3,5
"long_cut =  4 ; prob =  0.46",75.8230012825994,75.7867360208062,24.2132639791938,79.2094685127289,77.479248580166,76.4769297110824,75.8066408541593,7094,2262,1862,5828,3,5
"long_cut =  4 ; prob =  0.47",74.7114151346729,77.295188556567,22.704811443433,80.0137362637363,77.2717223082025,75.7149046793761,75.8770386014314,6990,2366,1746,5944,3,5
"long_cut =  4 ; prob =  0.48",73.7387772552373,78.6215864759428,21.3784135240572,80.7561746459089,77.0881054807531,75.0429656057606,75.9415698697642,6899,2457,1644,6046,3,5
"long_cut =  4 ; prob =  0.49",72.5737494655836,79.8829648894668,20.1170351105332,81.4441645675903,76.7535183405867,74.1898122855707,75.8711721224921,6790,2566,1547,6143,3,5
"long_cut =  4 ; prob =  0.5",71.4942283026935,80.8322496749025,19.1677503250975,81.9429131446772,76.3628060962384,73.3652137670827,75.7069107121905,6689,2667,1474,6216,3,5
"long_cut =  4 ; prob =  0.51",70.5643437366396,81.8335500650195,18.1664499349805,82.5353169146143,76.0818208009219,72.6724346696608,75.6482459227971,6602,2754,1397,6293,3,5
"long_cut =  4 ; prob =  0.52",69.7413424540402,82.6527958387516,17.3472041612484,83.0258302583026,75.805983154226,72.0469050195438,75.5661152176464,6525,2831,1334,6356,3,5
"long_cut =  4 ; prob =  0.53",68.9183411714408,83.4850455136541,16.5149544863459,83.5449598341539,75.5300456834954,71.4190775774224,75.4898509914349,6448,2908,1270,6420,3,5
"long_cut =  4 ; prob =  0.54",67.9243266353142,84.2912873862159,15.7087126137841,84.0275023138966,75.1226431822212,70.6315157712228,75.3079901443154,6355,3001,1208,6482,3,5
"long_cut =  4 ; prob =  0.55",67.0478837109876,85.1365409622887,14.8634590377113,84.5873786407767,74.8032435010732,69.9487065120428,75.2082600023466,6273,3083,1143,6547,3,5
"long_cut =  4 ; prob =  0.56",66.3531423685336,85.6827048114434,14.3172951885566,84.936379805719,74.5034503450345,69.3894887443274,75.0733309867418,6208,3148,1101,6589,3,5
"long_cut =  4 ; prob =  0.57",65.5301410859342,86.2288686605982,13.7711313394018,85.2712100139082,74.1085458721141,68.7116151880576,74.8680042238648,6131,3225,1059,6631,3,5
"long_cut =  4 ; prob =  0.58",64.6750748182984,86.7230169050715,13.2769830949285,85.5627828054299,73.6669101533966,67.9948759439051,74.6216121084125,6051,3305,1021,6669,3,5
"long_cut =  4 ; prob =  0.59",63.8200085506627,87.555266579974,12.444733420026,86.1864896073903,73.3357897322525,67.3137626262626,74.5277484453831,5971,3385,957,6733,3,5
"long_cut =  4 ; prob =  0.6",63.2107738349722,88.0884265279584,11.9115734720416,86.588579795022,73.0754973433832,66.8188186378632,74.4338847823536,5914,3442,916,6774,3,5
"long_cut =  4 ; prob =  0.61",62.0991876870457,88.7386215864759,11.2613784135241,87.0281605751947,72.4800399201597,65.8730158730159,74.1170949196292,5810,3546,866,6824,3,5
"long_cut =  4 ; prob =  0.62",61.2227447627191,89.297789336801,10.702210663199,87.43703251412,72.0186081599296,65.1279135872655,73.8883022409949,5728,3628,823,6867,3,5
"long_cut =  4 ; prob =  0.63",60.3569901667379,89.7009102730819,10.2990897269181,87.6999534089144,71.5036403925293,64.3708820646103,73.5949782940279,5647,3709,792,6898,3,5
"long_cut =  4 ; prob =  0.64",59.5553655408294,90.3250975292588,9.67490247074122,88.2203926535782,71.107708014293,63.6945587562871,73.4365833626657,5572,3784,744,6946,3,5
"long_cut =  4 ; prob =  0.65",58.7216759298846,90.7802340702211,9.21976592977893,88.5700467515718,70.6215052381258,62.9655947005295,73.1843247682741,5494,3862,709,6981,3,5
"long_cut =  4 ; prob =  0.66",57.7062847370671,91.1183355006502,8.88166449934981,88.770141400855,69.9442933022412,62.0489127936377,72.7795377214596,5399,3957,683,7007,3,5
"long_cut =  4 ; prob =  0.67",56.7977768277041,91.4304291287386,8.56957087126138,88.9670182487862,69.3326374845065,61.2254303292854,72.4216825061598,5314,4042,659,7031,3,5
"long_cut =  4 ; prob =  0.68",55.8892689183412,91.8855656697009,8.11443433029909,89.3388006150692,68.7619172858176,60.4131524828431,72.1283585591928,5229,4127,624,7066,3,5
"long_cut =  4 ; prob =  0.69",55.0983326207781,92.2626788036411,7.7373211963589,89.6521739130435,68.2510260823514,59.7002825774772,71.8643670069224,5155,4201,595,7095,3,5
"long_cut =  4 ; prob =  0.7",54.2325780247969,92.5747724317295,7.42522756827048,89.8848538529672,67.6488234117726,58.9054772574241,71.52997770738,5074,4282,571,7119,3,5
"long_cut =  4 ; prob =  0.71",53.2278751603249,92.925877763329,7.074122236671,90.1520637219406,66.9354838709677,57.9770885722269,71.1369236184442,4980,4376,544,7146,3,5
"long_cut =  4 ; prob =  0.72",52.4048738777255,93.3159947984395,6.68400520156047,90.5113531474986,66.3778514858187,57.2232207464812,70.8611991082952,4903,4453,514,7176,3,5
"long_cut =  4 ; prob =  0.73",51.3894826849081,93.7451235370611,6.25487646293888,90.9056532425789,65.6606350290201,56.2826305808536,70.4974774140561,4808,4548,481,7209,3,5
"long_cut =  4 ; prob =  0.74",50.4916631038906,94.0572171651495,5.94278283485046,91.1793090137039,64.9927770516613,55.4395024058209,70.1454886776956,4724,4632,457,7233,3,5
"long_cut =  4 ; prob =  0.75",49.6472851646003,94.3823146944083,5.61768530559168,91.4910380145755,64.366382595441,54.6457730406343,69.8286988149713,4645,4711,432,7258,3,5
"long_cut =  4 ; prob =  0.76",48.7067122702009,94.5903771131339,5.40962288686606,91.6348280715866,63.6052760136785,53.7420100478807,69.4063123313387,4557,4799,416,7274,3,5
"long_cut =  4 ; prob =  0.77",47.8088926891834,94.850455136541,5.14954486345903,91.8669131238447,62.8892794376098,52.8810914335706,69.0308576792209,4473,4883,396,7294,3,5
"long_cut =  4 ; prob =  0.78",46.9752030782386,95.1235370611183,4.87646293888166,92.1383647798742,62.225683137477,52.0808645779021,68.6964683796785,4395,4961,375,7315,3,5
"long_cut =  4 ; prob =  0.79",45.9277469003848,95.4226267880364,4.57737321196359,92.4284792428479,61.3637986433417,51.0660043258147,68.256482459228,4297,5059,352,7338,3,5
"long_cut =  4 ; prob =  0.8",44.9123557075673,95.7217165149545,4.27828348504551,92.7389097329508,60.517030316123,50.0774639494697,67.8340959755954,4202,5154,329,7361,3,5
"long_cut =  4 ; prob =  0.81",44.0252244548953,96.0598179453836,3.94018205461638,93.1478968792402,59.7909711133692,49.2161735888735,67.499706676053,4119,5237,303,7387,3,5
"long_cut =  4 ; prob =  0.82",42.9243266353142,96.2808842652796,3.71911573472041,93.3519293351929,58.8080246009665,48.1234721756219,66.9951894872697,4016,5340,286,7404,3,5
"long_cut =  4 ; prob =  0.83",41.8127404873878,96.4239271781534,3.57607282184655,93.4320515882493,57.7715424942775,47.0068010862512,66.4496069459111,3912,5444,275,7415,3,5
"long_cut =  4 ; prob =  0.84",40.6049593843523,96.7360208062419,3.26397919375813,93.8024691358025,56.6761151723109,45.7997781742779,65.9274903203097,3799,5557,251,7439,3,5
"long_cut =  4 ; prob =  0.85",39.6109448482257,96.9180754226268,3.08192457737321,93.9893482120213,55.7335137980299,44.7941595958131,65.4640384841018,3706,5650,237,7453,3,5
"long_cut =  4 ; prob =  0.86",38.3283454467721,97.0221066319896,2.9778933680104,93.997378768021,54.4529648470124,43.4782608695652,64.8069928428957,3586,5770,229,7461,3,5
"long_cut =  4 ; prob =  0.87",37.0029927319367,97.2301690507152,2.76983094928479,94.2040816326531,53.1348323229223,42.1178130854765,64.1734131174469,3462,5894,213,7477,3,5
"long_cut =  4 ; prob =  0.88",35.6776400171013,97.4642392717815,2.53576072821846,94.4806113784319,51.7961052059896,40.7500549356642,63.5515663498768,3338,6018,195,7495,3,5
"long_cut =  4 ; prob =  0.89",34.2240273621206,97.6072821846554,2.3927178153446,94.5658594211459,50.2589860304505,39.2305807400147,62.8182564824592,3202,6154,184,7506,3,5
"long_cut =  4 ; prob =  0.9",32.8879863189397,97.7503250975293,2.24967490247074,94.6769230769231,48.8180231635729,37.8251462850961,62.1494778833744,3077,6279,173,7517,3,5
"long_cut =  4 ; prob =  0.91",31.2847370671227,97.9843953185956,2.01560468140443,94.9707981829981,47.065444605242,36.1304498099047,61.3751026633814,2927,6429,155,7535,3,5
"long_cut =  4 ; prob =  0.92",29.809747755451,98.1404421326398,1.85955786736021,95.1227830832196,45.3938802083333,34.5549608484488,60.6359263170245,2789,6567,143,7547,3,5
"long_cut =  4 ; prob =  0.93",28.4843950406156,98.2834850455137,1.71651495448635,95.280657847694,43.8574837488686,33.1294597349643,59.973014196879,2665,6691,132,7558,3,5
"long_cut =  4 ; prob =  0.94",26.8277041470714,98.51755526658,1.48244473342003,95.655487804878,41.9031719532554,31.337395125849,59.1693065821894,2510,6846,114,7576,3,5
"long_cut =  4 ; prob =  0.95",24.7648567764002,98.6866059817945,1.31339401820546,95.822994210091,39.3579072532699,29.07735555444,58.1133403731081,2317,7039,101,7589,3,5
"long_cut =  4 ; prob =  0.96",22.5951261222745,98.9466840052016,1.05331599479844,96.3097949886105,36.6028915245433,26.6791186047099,57.0397747272087,2114,7242,81,7609,3,5
"long_cut =  4 ; prob =  0.97",20.1795639162035,99.1937581274382,0.806241872561764,96.8205128205128,33.3981956483283,23.9752120688779,55.8254135867652,1888,7468,62,7628,3,5
"long_cut =  4 ; prob =  0.98",17.2616502778965,99.297789336801,0.702210663198954,96.7645296584781,29.297052154195,20.6558718952242,54.27079666784,1615,7741,54,7636,3,5
"long_cut =  4 ; prob =  0.99",13.0718255664814,99.4278283485045,0.572171651495446,96.5272296764009,23.0255106843641,15.8047091054767,52.0298017130118,1223,8133,44,7646,3,5
"long_cut =  4 ; prob =  1",0,100,0,NA,NA,NA,45.1132230435293,0,9356,0,7690,3,5
"long_cut =  4 ; prob =  random_rate",53.8092756644086,0.469576217583808,53.0423782416192,55.1838392475417,54.4878898211176,198.497988939165,50.7142857142857,5163,4432,4193,3712,3,5
"long_cut =  4 ; prob =  random_50",50.078165711308,0.507273877292853,49.2726122707147,55.2298850574713,52.5280131183383,194.296941376381,50.3714285714286,4805,4790,3895,4010,3,5
"long_cut =  5 ; prob =  0",100,0,100,49.8386244938677,66.5230672828386,83.2434869543058,49.8386244938677,8493,0,8548,0,3,5
"long_cut =  5 ; prob =  0.01",99.9646767926528,0.0116986429574169,99.9883013570426,49.8327170276457,66.5099882491187,83.2206081279774,49.8268880934217,8490,3,8547,1,3,5
"long_cut =  5 ; prob =  0.02",99.9646767926528,0.0116986429574169,99.9883013570426,49.8327170276457,66.5099882491187,83.2206081279774,49.8268880934217,8490,3,8547,1,3,5
"long_cut =  5 ; prob =  0.03",99.9646767926528,0.0116986429574169,99.9883013570426,49.8327170276457,66.5099882491187,83.2206081279774,49.8268880934217,8490,3,8547,1,3,5
"long_cut =  5 ; prob =  0.04",99.9646767926528,0.0116986429574169,99.9883013570426,49.8327170276457,66.5099882491187,83.2206081279774,49.8268880934217,8490,3,8547,1,3,5
"long_cut =  5 ; prob =  0.05",99.9411279877546,0.0116986429574169,99.9883013570426,49.826827120634,66.4995299279223,83.2042660811261,49.8151516929758,8488,5,8547,1,3,5
"long_cut =  5 ; prob =  0.06",99.9293535853055,0.0116986429574169,99.9883013570426,49.8238816484678,66.4943001527794,83.1960945771086,49.8092834927528,8487,6,8547,1,3,5
"long_cut =  5 ; prob =  0.07",99.8822559755092,0.0116986429574169,99.9883013570426,49.8120963006459,66.4733769541198,83.1634053566527,49.7858106918608,8483,10,8547,1,3,5
"long_cut =  5 ; prob =  0.08",99.8351583657129,0.0116986429574169,99.9883013570426,49.8003054152473,66.4524471962067,83.1307110082748,49.7623378909688,8479,14,8547,1,3,5
"long_cut =  5 ; prob =  0.09",99.693865536324,0.327562002807674,99.6724379971923,49.8439983516807,66.4599686028258,83.0765909849094,49.8503608943137,8467,26,8520,28,3,5
"long_cut =  5 ; prob =  0.1",99.6585423289768,0.432849789424427,99.5671502105756,49.8615611192931,66.4677242029213,83.0667163915442,49.8855700956517,8464,29,8511,37,3,5
"long_cut =  5 ; prob =  0.11",99.6114447191805,0.479644361254094,99.5203556387459,49.8614958448753,66.4571877454831,83.0404994208759,49.8855700956517,8460,33,8507,41,3,5
"long_cut =  5 ; prob =  0.12",99.5643471093842,0.514740290126345,99.4852597098736,49.8584905660377,66.4440341020705,83.0126443100605,49.8797018954287,8456,37,8504,44,3,5
"long_cut =  5 ; prob =  0.13",99.4937006946897,0.912494150678521,99.0875058493215,49.9408983451537,66.5013969228348,83.0189420734104,50.0440115016724,8450,43,8470,78,3,5
"long_cut =  5 ; prob =  0.14",99.4466030848934,1.13476836686944,98.8652316331306,49.985204474167,66.5301299724301,83.0171617291474,50.1320345050173,8446,47,8451,97,3,5
"long_cut =  5 ; prob =  0.15",99.3406334628518,1.70800187178287,98.2919981282171,50.1039254112477,66.6114006000316,83.02336108323,50.366762513937,8437,56,8402,146,3,5
"long_cut =  5 ; prob =  0.16",99.222889438361,2.16424894712213,97.8357510528779,50.1905896366885,66.6613930308903,83.0050037429573,50.5369403204037,8427,66,8363,185,3,5
"long_cut =  5 ; prob =  0.17",99.0227245967267,3.27562002807674,96.7243799719233,50.4257105168485,66.8229311509277,83.0207305034551,50.9946599377971,8410,83,8268,280,3,5
"long_cut =  5 ; prob =  0.18",98.8578829624397,3.62657931679925,96.3734206832007,50.4749308644944,66.8285111632905,82.9545903647789,51.0885511413649,8396,97,8238,310,3,5
"long_cut =  5 ; prob =  0.19",98.6930413281526,4.9017313991577,95.0982686008423,50.7661558960693,67.045272756359,83.0180456787433,51.6460301625492,8382,111,8129,419,3,5
"long_cut =  5 ; prob =  0.2",98.5046508889674,6.30556855404773,93.6944314459523,51.0900763358779,67.2832555895126,83.0834011957018,52.2563229857403,8366,127,8009,539,3,5
"long_cut =  5 ; prob =  0.21",98.127870010597,9.07814693495555,90.9218530650445,51.7446914193468,67.7588519858531,83.2101921003235,53.4593040314536,8334,159,7772,776,3,5
"long_cut =  5 ; prob =  0.22",97.7981867420228,11.0786148806738,88.9213851193262,52.2160055321556,68.0819672131148,83.2614928126065,54.2984566633414,8306,187,7601,947,3,5
"long_cut =  5 ; prob =  0.23",96.8209113387496,16.2143191389799,83.7856808610201,53.4481637959051,68.8751151687746,83.3012541280872,56.3875359427264,8223,270,7162,1386,3,5
"long_cut =  5 ; prob =  0.24",95.9731543624161,19.0336920917174,80.9663079082826,54.0804140127389,69.1788669637174,83.0988500122339,57.379261780412,8151,342,6921,1627,3,5
"long_cut =  5 ; prob =  0.25",95.3962086424114,20.8118858212447,79.1881141787553,54.4818774796584,69.3545625749015,82.9392133980304,57.9836864033801,8102,391,6769,1779,3,5
"long_cut =  5 ; prob =  0.26",93.9832803485223,25.2690687880206,74.7309312119794,55.5462769659012,69.8246074443424,82.5576103595217,59.5152866615809,7982,511,6388,2160,3,5
"long_cut =  5 ; prob =  0.27",92.1464735664665,31.6331305568554,68.3668694431446,57.2494513533285,70.6222081848125,82.1334116955627,61.7921483481016,7826,667,5844,2704,3,5
"long_cut =  5 ; prob =  0.28",91.1456493582951,33.5751052877866,66.4248947122134,57.686861912214,70.6553486673969,81.6716254141082,62.267472566164,7741,752,5678,2870,3,5
"long_cut =  5 ; prob =  0.29",90.2743435770635,35.2948058025269,64.7051941974731,58.0921351719958,70.6929141118436,81.2698749205003,62.6958511824423,7667,826,5531,3017,3,5
"long_cut =  5 ; prob =  0.3",89.6503002472625,36.9209171736079,63.0790828263921,58.5422112870983,70.8312014512303,81.0379326493252,63.2005164016196,7614,879,5392,3156,3,5
"long_cut =  5 ; prob =  0.31",88.8614152831744,38.2077678989237,61.7922321010763,58.8276560916673,70.7907325766814,80.6286190466016,63.4528490112083,7547,946,5282,3266,3,5
"long_cut =  5 ; prob =  0.32",88.2373719533734,39.3308376228358,60.6691623771642,59.1009463722397,70.7882680772682,80.3180999742776,63.7051816207969,7494,999,5186,3362,3,5
"long_cut =  5 ; prob =  0.33",87.5073590015307,40.4773046326626,59.5226953673374,59.3610223642173,70.7371627087993,79.9277295018498,63.9164368288246,7432,1061,5088,3460,3,5
