"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  4 ; prob =  0",100,0,100,54.821551132464,70.8190180649451,85.8501719690456,54.821551132464,9585,0,7899,0,3,7
"long_cut =  4 ; prob =  0.01",99.9895670318205,0,100,54.8189669965109,70.8142456036648,85.84275298712,54.8158316174788,9584,1,7899,0,3,7
"long_cut =  4 ; prob =  0.02",99.9895670318205,0,100,54.8189669965109,70.8142456036648,85.84275298712,54.8158316174788,9584,1,7899,0,3,7
"long_cut =  4 ; prob =  0.03",99.9895670318205,0,100,54.8189669965109,70.8142456036648,85.84275298712,54.8158316174788,9584,1,7899,0,3,7
"long_cut =  4 ; prob =  0.04",99.9895670318205,0,100,54.8189669965109,70.8142456036648,85.84275298712,54.8158316174788,9584,1,7899,0,3,7
"long_cut =  4 ; prob =  0.05",99.9895670318205,0,100,54.8189669965109,70.8142456036648,85.84275298712,54.8158316174788,9584,1,7899,0,3,7
"long_cut =  4 ; prob =  0.06",99.9791340636411,0,100,54.8163825649239,70.809472789744,85.8353337393859,54.8101121024937,9583,2,7899,0,3,7
"long_cut =  4 ; prob =  0.07",99.9791340636411,0,100,54.8163825649239,70.809472789744,85.8353337393859,54.8101121024937,9583,2,7899,0,3,7
"long_cut =  4 ; prob =  0.08",99.9791340636411,0,100,54.8163825649239,70.809472789744,85.8353337393859,54.8101121024937,9583,2,7899,0,3,7
"long_cut =  4 ; prob =  0.09",99.9791340636411,0,100,54.8163825649239,70.809472789744,85.8353337393859,54.8101121024937,9583,2,7899,0,3,7
"long_cut =  4 ; prob =  0.1",99.9687010954617,0,100,54.8137978376523,70.8046996231434,85.827914225829,54.8043925875086,9582,3,7899,0,3,7
"long_cut =  4 ; prob =  0.11",99.9687010954617,0,100,54.8137978376523,70.8046996231434,85.827914225829,54.8043925875086,9582,3,7899,0,3,7
"long_cut =  4 ; prob =  0.12",99.9582681272822,0,100,54.8112128146453,70.7999261038241,85.820494446435,54.7986730725234,9581,4,7899,0,3,7
"long_cut =  4 ; prob =  0.13",99.9582681272822,0,100,54.8112128146453,70.7999261038241,85.820494446435,54.7986730725234,9581,4,7899,0,3,7
"long_cut =  4 ; prob =  0.14",99.9374021909233,0,100,54.8060418812221,70.7903780068728,85.8056540900785,54.7872340425532,9579,6,7899,0,3,7
"long_cut =  4 ; prob =  0.15",99.9165362545644,0,100,54.8008697642481,70.7808284985773,85.7908126702021,54.7757950125829,9577,8,7899,0,3,7
"long_cut =  4 ; prob =  0.16",99.8643714136672,0,100,54.787934291111,70.7569485511532,85.7537044668614,54.7471974376573,9572,13,7899,0,3,7
"long_cut =  4 ; prob =  0.17",99.8539384454877,0,100,54.7853463079565,70.7521715024949,85.7462820283103,54.7414779226722,9571,14,7899,0,3,7
"long_cut =  4 ; prob =  0.18",99.8539384454877,0,100,54.7853463079565,70.7521715024949,85.7462820283103,54.7414779226722,9571,14,7899,0,3,7
"long_cut =  4 ; prob =  0.19",99.8226395409494,0,100,54.7775805805233,70.7378382374686,85.7240131166341,54.7243193777168,9568,17,7899,0,3,7
"long_cut =  4 ; prob =  0.2",99.81220657277,0,100,54.774991411886,70.7330597759787,85.71658961402,54.7185998627316,9567,18,7899,0,3,7
"long_cut =  4 ; prob =  0.21",99.7496087636933,0.0126598303582732,99.9873401696417,54.7625866315367,70.7069960065079,85.6735783795409,54.690002287806,9561,24,7898,1,3,7
"long_cut =  4 ; prob =  0.22",99.7078768909755,0.0379794910748196,99.9620205089252,54.7584942416776,70.6930986019676,85.6469449572527,54.6785632578357,9557,28,7896,3,3,7
"long_cut =  4 ; prob =  0.23",99.6661450182577,0.0506393214330928,99.9493606785669,54.7512608895002,70.6765804757149,85.6187710618771,54.6614047128803,9553,32,7895,4,3,7
"long_cut =  4 ; prob =  0.24",99.6557120500783,0.0759589821496392,99.9240410178504,54.7549441100602,70.677025527192,85.6144124764722,54.6671242278655,9552,33,7893,6,3,7
"long_cut =  4 ; prob =  0.25",99.6244131455399,0.101278642866186,99.8987213571338,54.7534403669725,70.6679000925069,85.5951954105414,54.6614047128803,9549,36,7891,8,3,7
"long_cut =  4 ; prob =  0.26",99.5305164319249,0.101278642866186,99.8987213571338,54.7300785956055,70.6248149244892,85.5283211705008,54.6099290780142,9540,45,7891,8,3,7
"long_cut =  4 ; prob =  0.27",99.4887845592071,0.113938473224459,99.8860615267755,54.7228279582233,70.6082707045278,85.5001255245132,54.5927705330588,9536,49,7890,9,3,7
"long_cut =  4 ; prob =  0.28",99.3531559728743,0.164577794657552,99.8354222053425,54.7015911310242,70.556419945173,85.4096037597087,54.5412948981926,9523,62,7886,13,3,7
"long_cut =  4 ; prob =  0.29",99.2175273865415,0.265856437523737,99.7341435624763,54.6928916494134,70.5149594038483,85.3251507321275,54.512697323267,9510,75,7878,21,3,7
"long_cut =  4 ; prob =  0.3",99.0923317683881,0.443094062539562,99.5569059374604,54.7056790692317,70.4939325342339,85.257261857743,54.5241363532372,9498,87,7864,35,3,7
"long_cut =  4 ; prob =  0.31",98.9462702138758,0.696290669705026,99.303709330295,54.7322253000923,70.4789506929737,85.1835884170439,54.558453443148,9484,101,7844,55,3,7
"long_cut =  4 ; prob =  0.32",92.7282211789254,26.2438283327003,73.7561716672997,60.4050564088623,73.1552738795835,83.7637124439251,62.6916037520018,8888,697,5826,2073,3,7
"long_cut =  4 ; prob =  0.33",89.6817944705269,39.2834536017217,60.7165463982783,64.1875746714456,74.8226487356922,83.0820381968607,66.9126058110272,8596,989,4796,3103,3,7
"long_cut =  4 ; prob =  0.34",87.5430359937402,47.5250031649576,52.4749968350424,66.9352265475431,75.8645630848515,82.465209529051,69.4635094943949,8391,1194,4145,3754,3,7
"long_cut =  4 ; prob =  0.35",85.5503390714658,53.2852259779719,46.7147740220281,68.9655172413793,76.3678696158324,81.624527174995,70.973461450469,8200,1385,3690,4209,3,7
"long_cut =  4 ; prob =  0.36",83.5680751173709,58.0833016837574,41.9166983162426,70.7534670082148,76.6287190280302,80.6467852036809,72.0544497826584,8010,1575,3311,4588,3,7
"long_cut =  4 ; prob =  0.37",82.0448617631716,61.9951892644639,38.0048107355361,72.3725381925271,76.9057747787394,79.9089541925781,72.9867307252345,7864,1721,3002,4897,3,7
