"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  4 ; prob =  0",100,0,100,54.9000058647587,70.8844464637286,85.8886136342784,54.9000058647587,9361,0,7690,0,3,8
"long_cut =  4 ; prob =  0.01",100,0,100,54.9000058647587,70.8844464637286,85.8886136342784,54.9000058647587,9361,0,7690,0,3,8
"long_cut =  4 ; prob =  0.02",100,0,100,54.9000058647587,70.8844464637286,85.8886136342784,54.9000058647587,9361,0,7690,0,3,8
"long_cut =  4 ; prob =  0.03",99.9893173806217,0,100,54.8973607038123,70.8795577600242,85.8810144236063,54.8941411060935,9360,1,7690,0,3,8
"long_cut =  4 ; prob =  0.04",99.9893173806217,0,100,54.8973607038123,70.8795577600242,85.8810144236063,54.8941411060935,9360,1,7690,0,3,8
"long_cut =  4 ; prob =  0.05",99.9893173806217,0,100,54.8973607038123,70.8795577600242,85.8810144236063,54.8941411060935,9360,1,7690,0,3,8
"long_cut =  4 ; prob =  0.06",99.9893173806217,0,100,54.8973607038123,70.8795577600242,85.8810144236063,54.8941411060935,9360,1,7690,0,3,8
"long_cut =  4 ; prob =  0.07",99.9893173806217,0,100,54.8973607038123,70.8795577600242,85.8810144236063,54.8941411060935,9360,1,7690,0,3,8
"long_cut =  4 ; prob =  0.08",99.9893173806217,0,100,54.8973607038123,70.8795577600242,85.8810144236063,54.8941411060935,9360,1,7690,0,3,8
"long_cut =  4 ; prob =  0.09",99.9786347612435,0,100,54.894715232565,70.8746686861037,85.8734149340282,54.8882763474283,9359,2,7690,0,3,8
"long_cut =  4 ; prob =  0.1",99.9786347612435,0,100,54.894715232565,70.8746686861037,85.8734149340282,54.8882763474283,9359,2,7690,0,3,8
"long_cut =  4 ; prob =  0.11",99.9572695224869,0,100,54.8894233589488,70.8648894274462,85.8582151180929,54.8765468300979,9357,4,7690,0,3,8
"long_cut =  4 ; prob =  0.12",99.882491186839,0.169050715214564,99.8309492847854,54.9127855758501,70.8655449446718,85.8254851205228,54.911735382089,9350,11,7677,13,3,8
"long_cut =  4 ; prob =  0.13",99.8397607093259,0.273081924577373,99.7269180754226,54.9280047017338,70.8674552623597,85.8076718265117,54.9351944167498,9346,15,7669,21,3,8
"long_cut =  4 ; prob =  0.14",99.7542997542998,0.364109232769831,99.6358907672302,54.9294117647059,70.8470847084709,85.7578429211667,54.9293296580846,9338,23,7662,28,3,8
"long_cut =  4 ; prob =  0.15",99.6902040380301,0.546163849154746,99.4538361508452,54.9587750294464,70.8553206028625,85.7342348963692,54.976247727406,9332,29,7648,42,3,8
"long_cut =  4 ; prob =  0.16",99.6581561798953,0.559167750325098,99.4408322496749,54.9540527803959,70.8433002999582,85.7129731716281,54.9645182100757,9329,32,7647,43,3,8
"long_cut =  4 ; prob =  0.17",99.5940604636257,0.624187256176853,99.3758127438231,54.9543177129384,70.8273190002279,85.6751640353618,54.9586534514105,9323,38,7642,48,3,8
"long_cut =  4 ; prob =  0.18",99.4231385535733,1.57347204161248,98.4265279583875,55.149324484475,70.9456111598125,85.6682621502209,55.2929446953258,9307,54,7569,121,3,8
"long_cut =  4 ; prob =  0.19",99.1881209272514,2.67880364109233,97.3211963589077,55.3700280279086,71.0677382319173,85.6344419235239,55.6624244912322,9285,76,7484,206,3,8
"long_cut =  4 ; prob =  0.2",99.1133425916035,3.14694408322497,96.853055916775,55.4705249312448,71.1312147813087,85.6378069041905,55.8325024925224,9278,83,7448,242,3,8
"long_cut =  4 ; prob =  0.21",98.9531033009294,3.57607282184655,96.4239271781534,55.5402326418036,71.1471254656477,85.5751819962307,55.9380681484957,9263,98,7415,275,3,8
"long_cut =  4 ; prob =  0.22",98.8142292490119,3.91417425227568,96.0858257477243,55.5922831900956,71.1538461538462,85.5167058040419,56.014310011143,9250,111,7389,301,3,8
"long_cut =  4 ; prob =  0.23",98.6967204358509,4.56436931079324,95.4356306892068,55.7304861865122,71.2363622344732,85.5114582947688,56.2430355990851,9239,122,7339,351,3,8
"long_cut =  4 ; prob =  0.24",98.5364811451768,5.79973992197659,94.2002600780234,56.0116589749818,71.4235936350614,85.5468170351684,56.7122162922996,9224,137,7244,446,3,8
"long_cut =  4 ; prob =  0.25",98.3121461382331,6.77503250975293,93.2249674902471,56.2118250671879,71.5268332491354,85.5043109855805,57.0289132602193,9203,158,7169,521,3,8
"long_cut =  4 ; prob =  0.26",97.7673325499412,9.24577373211964,90.7542262678804,56.7354782716509,71.8029185626863,85.4129724685021,57.8441147146795,9152,209,6979,711,3,8
"long_cut =  4 ; prob =  0.27",97.1904711035146,13.5110533159948,86.4889466840052,57.7687472220458,72.4651533253684,85.518771266896,59.4510585889391,9098,263,6651,1039,3,8
