"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,0.703689615823507,1.39754485363551,3.4221235664077,0.703689615823507,37,0,5221,0,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.01",62.1621621621622,86.8990614824746,13.1009385175254,3.25318246110325,6.18279569892473,13.4502923976608,86.7249904906809,23,14,684,4537,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.02",48.6486486486487,94.1965140777629,5.80348592223712,5.60747663551402,10.0558659217877,19.1897654584222,93.8759984785089,18,19,303,4918,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.03",27.027027027027,96.399157249569,3.60084275043095,5.05050505050505,8.51063829787234,14.4508670520231,95.9109927729175,10,27,188,5033,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.04",18.9189189189189,97.6632828959969,2.33671710400306,5.42635658914729,8.43373493975904,12.6353790613718,97.109166983644,7,30,122,5099,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.05",16.2162162162162,98.1421183681287,1.85788163187129,5.8252427184466,8.57142857142857,11.9521912350598,97.565614302016,6,31,97,5124,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.06",13.5135135135135,98.4868799080636,1.51312009193642,5.95238095238095,8.26446280991735,10.7758620689655,97.8889311525295,5,32,79,5142,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.07",13.5135135135135,98.7741811913427,1.22581880865734,7.2463768115942,9.43396226415094,11.5207373271889,98.174210726512,5,32,64,5157,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.08",10.8108108108108,99.0614824746217,0.93851752537828,7.54716981132075,8.88888888888889,9.95024875621891,98.440471662229,4,33,49,5172,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.09",8.10810810810811,99.1955564068186,0.804443593181381,6.66666666666667,7.31707317073171,7.7720207253886,98.554583491822,3,34,42,5179,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.1",5.40540540540541,99.4253974334419,0.574602566558136,6.25,5.79710144927536,5.55555555555556,98.7637885127425,2,35,30,5191,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.11",5.40540540540541,99.4828576900977,0.517142309902319,6.89655172413793,6.06060606060606,5.64971751412429,98.820844427539,2,35,27,5194,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.12",5.40540540540541,99.5211645278682,0.478835472131778,7.40740740740741,6.25,5.71428571428571,98.85888170407,2,35,25,5196,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.13",5.40540540540541,99.578624784524,0.421375215475961,8.33333333333333,6.55737704918033,5.81395348837209,98.9159376188665,2,35,22,5199,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.14",5.40540540540541,99.5977782034093,0.402221796590696,8.69565217391304,6.66666666666667,5.84795321637427,98.934956257132,2,35,21,5200,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.15",5.40540540540541,99.7510055544915,0.248994445508521,13.3333333333333,7.69230769230769,6.13496932515337,99.087105363256,2,35,13,5208,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.16",2.7027027027027,99.7701589733767,0.229841026623256,7.69230769230769,4,3.1055900621118,99.087105363256,1,36,12,5209,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.17",2.7027027027027,99.789312392262,0.21068760773798,8.33333333333333,4.08163265306122,3.125,99.1061240015215,1,36,11,5210,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.18",2.7027027027027,99.8276192300326,0.17238076996744,10,4.25531914893617,3.16455696202532,99.1441612780525,1,36,9,5212,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.19",2.7027027027027,99.8276192300326,0.17238076996744,10,4.25531914893617,3.16455696202532,99.1441612780525,1,36,9,5212,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.2",2.7027027027027,99.8276192300326,0.17238076996744,10,4.25531914893617,3.16455696202532,99.1441612780525,1,36,9,5212,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.21",0,99.8467726489178,0.153227351082164,0,NA,NA,99.1441612780525,0,37,8,5213,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.22",0,99.8659260678031,0.134073932196899,0,NA,NA,99.163179916318,0,37,7,5214,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.23",0,99.8659260678031,0.134073932196899,0,NA,NA,99.163179916318,0,37,7,5214,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.24",0,99.8850794866884,0.114920513311623,0,NA,NA,99.1821985545835,0,37,6,5215,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.25",0,99.9042329055736,0.0957670944263578,0,NA,NA,99.201217192849,0,37,5,5216,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.26",0,99.9042329055736,0.0957670944263578,0,NA,NA,99.201217192849,0,37,5,5216,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.27",0,99.9233863244589,0.0766136755410818,0,NA,NA,99.2202358311145,0,37,4,5217,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.28",0,99.9233863244589,0.0766136755410818,0,NA,NA,99.2202358311145,0,37,4,5217,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.29",0,99.9233863244589,0.0766136755410818,0,NA,NA,99.2202358311145,0,37,4,5217,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.3",0,99.9233863244589,0.0766136755410818,0,NA,NA,99.2202358311145,0,37,4,5217,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.31",0,99.9233863244589,0.0766136755410818,0,NA,NA,99.2202358311145,0,37,4,5217,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.32",0,99.9425397433442,0.0574602566558169,0,NA,NA,99.23925446938,0,37,3,5218,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.33",0,99.9425397433442,0.0574602566558169,0,NA,NA,99.23925446938,0,37,3,5218,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.34",0,99.9616931622295,0.0383068377705409,0,NA,NA,99.2582731076455,0,37,2,5219,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.35",0,99.9616931622295,0.0383068377705409,0,NA,NA,99.2582731076455,0,37,2,5219,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.36",0,99.9808465811147,0.019153418885276,0,NA,NA,99.277291745911,0,37,1,5220,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.37",0,99.9808465811147,0.019153418885276,0,NA,NA,99.277291745911,0,37,1,5220,2,1,6,4429,"spender"
"long_cut =  6 ; prob =  0.38",0,99.9808465811147,0.019153418885276,0,NA,NA,99.277291745911,0,37,1,5220,2,1,6,4429,"spender"
