"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,0.464252553389044,0.924214417744917,2.27894257064722,0.464252553389044,60,0,12864,0,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.01",58.3333333333333,91.5500621890547,8.44993781094527,3.11942959001783,5.92216582064298,12.848751835536,91.3958526771897,35,25,1087,11777,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.02",33.3333333333333,96.6962064676617,3.30379353233831,4.49438202247191,7.92079207920792,14.5985401459854,96.4020427112349,20,40,425,12439,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.03",23.3333333333333,98.1965174129353,1.80348258706468,5.69105691056911,9.15032679738562,14.40329218107,97.8489631692974,14,46,232,12632,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.04",11.6666666666667,98.7251243781095,1.27487562189055,4.09356725146199,6.06060606060606,8.51581508515815,98.320953265243,7,53,164,12700,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.05",11.6666666666667,99.0827114427861,0.917288557213936,5.6,7.56756756756757,9.58904109589041,98.6768802228412,7,53,118,12746,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.06",6.66666666666667,99.3236940298508,0.676305970149249,4.3956043956044,5.29801324503311,6.04229607250755,98.8935314144228,4,56,87,12777,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.07",5,99.4325248756219,0.567475124378114,3.94736842105263,4.41176470588235,4.74683544303798,98.9941194676571,3,57,73,12791,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.08",3.33333333333333,99.5569029850746,0.443097014925375,3.38983050847458,3.36134453781513,3.34448160535117,99.1101826060043,2,58,57,12807,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.09",3.33333333333333,99.6501865671642,0.349813432835822,4.25531914893617,3.73831775700935,3.48432055749129,99.2030331166821,2,58,45,12819,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.1",3.33333333333333,99.7123756218905,0.287624378109452,5.12820512820513,4.04040404040404,3.584229390681,99.264933457134,2,58,37,12827,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.11",3.33333333333333,99.7279228855721,0.27207711442786,5.40540540540541,4.12371134020619,3.6101083032491,99.280408542247,2,58,35,12829,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.12",3.33333333333333,99.7512437810945,0.248756218905477,5.88235294117647,4.25531914893617,3.64963503649635,99.3036211699164,2,58,32,12832,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.13",1.66666666666667,99.7823383084577,0.217661691542292,3.44827586206897,2.24719101123596,1.85873605947955,99.3268337975859,1,59,28,12836,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.14",1.66666666666667,99.7901119402985,0.209888059701491,3.57142857142857,2.27272727272727,1.86567164179105,99.3345713401424,1,59,27,12837,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.15",1.66666666666667,99.8056592039801,0.194340796019898,3.84615384615385,2.32558139534884,1.8796992481203,99.3500464252553,1,59,25,12839,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.16",1.66666666666667,99.8212064676617,0.178793532338306,4.16666666666667,2.38095238095238,1.89393939393939,99.3655215103683,1,59,23,12841,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.17",1.66666666666667,99.8289800995025,0.171019900497515,4.34782608695652,2.40963855421687,1.90114068441065,99.3732590529248,1,59,22,12842,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.18",1.66666666666667,99.8367537313433,0.163246268656714,4.54545454545455,2.4390243902439,1.90839694656489,99.3809965954813,1,59,21,12843,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.19",1.66666666666667,99.8600746268657,0.139925373134331,5.26315789473684,2.53164556962025,1.93050193050193,99.4042092231507,1,59,18,12846,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.2",1.66666666666667,99.8756218905473,0.124378109452739,5.88235294117647,2.5974025974026,1.94552529182879,99.4196843082637,1,59,16,12848,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.21",1.66666666666667,99.8756218905473,0.124378109452739,5.88235294117647,2.5974025974026,1.94552529182879,99.4196843082637,1,59,16,12848,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.22",1.66666666666667,99.8833955223881,0.116604477611937,6.25,2.63157894736842,1.953125,99.4274218508202,1,59,15,12849,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.23",0,99.8833955223881,0.116604477611937,0,NA,NA,99.4196843082637,0,60,15,12849,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.24",0,99.8911691542288,0.108830845771146,0,NA,NA,99.4274218508202,0,60,14,12850,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.25",0,99.8911691542288,0.108830845771146,0,NA,NA,99.4274218508202,0,60,14,12850,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.26",0,99.8989427860697,0.101057213930345,0,NA,NA,99.4351593933767,0,60,13,12851,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.27",0,99.9067164179104,0.0932835820895539,0,NA,NA,99.4428969359331,0,60,12,12852,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.28",0,99.9144900497513,0.0855099502487522,0,NA,NA,99.4506344784896,0,60,11,12853,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.29",0,99.9144900497513,0.0855099502487522,0,NA,NA,99.4506344784896,0,60,11,12853,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.3",0,99.9144900497513,0.0855099502487522,0,NA,NA,99.4506344784896,0,60,11,12853,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.31",0,99.9144900497513,0.0855099502487522,0,NA,NA,99.4506344784896,0,60,11,12853,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.32",0,99.9144900497513,0.0855099502487522,0,NA,NA,99.4506344784896,0,60,11,12853,2,1,6,2718,"spender"
"long_cut =  6 ; prob =  0.33",0,99.922263681592,0.0777363184079616,0,NA,NA,99.4583720210461,0,60,10,12854,2,1,6,2718,"spender"
